Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,GERB,Bulgarian Socialist Party,United Patriots,IMRO – Bulgarian National Movement,National Front for the Salvation of Bulgaria,Attack,Alternative for Bulgarian Revival,Movement for Rights and Freedoms,Volya,Reformist Bloc,Democratic Bulgaria,Democrats for a Strong Bulgaria,"Yes, Bulgaria!",There Are Such People,Stand Up! Mutri out!,Revival,Republicans for Bulgaria,Volya–NFSB,The Bulgarian Patriots,Other
Gallup,BNR/BNT,2021-02-22,2021-03-01,National,1008,Provided,53%,0.1%,27.5%,23.2%,Not Available,4.2%,Not Available,0.6%,1.0%,12.5%,Not Available,Not Available,6.5%,Not Available,Not Available,13.2%,4.5%,1.3%,0.8%,2.6%,Not Available,2.0%
Mediana,,2021-02-22,2021-02-26,National,943,Provided,61%,0.1%,27.5%,24.2%,Not Available,4.0%,Not Available,Not Available,1.4%,10.7%,Not Available,Not Available,4.2%,Not Available,Not Available,15.2%,5.0%,Not Available,Not Available,3.1%,Not Available,4.7%
Market LINKS,bTV,2021-02-17,2021-02-24,National,1019,Provided,50.6%,0.1%,26.5%,21.6%,Not Available,3.2%,Not Available,Not Available,Not Available,10.1%,Not Available,Not Available,7.3%,Not Available,Not Available,19.1%,5.3%,Not Available,Not Available,Not Available,Not Available,7.0%
Exacta,,2021-02-15,2021-02-22,National,1005,Provided,60%,0.1%,26.4%,22.3%,Not Available,Not Available,Not Available,Not Available,Not Available,8.5%,Not Available,Not Available,5.1%,Not Available,Not Available,13.5%,Not Available,Not Available,Not Available,Not Available,Not Available,24.2%
Trend,24 hours/BNT,2021-02-12,2021-02-19,National,1008,Provided,47%,0.1%,28.9%,24.1%,Not Available,3.8%,Not Available,Not Available,Not Available,11.1%,Not Available,Not Available,6.2%,Not Available,Not Available,12.9%,4.0%,1.1%,Not Available,2.6%,Not Available,5.3%
AFIS,,2021-02-12,2021-02-17,National,1000,Provided,43.9%,0.1%,25.2%,22.5%,Not Available,3.2%,Not Available,1.6%,1.6%,11.5%,Not Available,Not Available,5.6%,Not Available,Not Available,14.2%,4.1%,2.2%,1.4%,2.0%,Not Available,4.9%
Gallup,,2021-02-04,2021-02-12,National,1011,Provided,43%,0.1%,25.8%,21.9%,Not Available,4.2%,Not Available,0.3%,Not Available,12.4%,Not Available,Not Available,6.8%,Not Available,Not Available,13.1%,4.7%,Not Available,Not Available,2.7%,Not Available,8.4%
Sova Harris,,2020-01-26,2021-01-31,National,1000,Provided,Not Available,0.1%,27.1%,24.9%,Not Available,4.4%,1.7%,1.3%,1.7%,9.3%,2.8%,Not Available,4.1%,Not Available,Not Available,15.5%,4.7%,1.1%,1.6%,Not Available,Not Available,Not Available
Market LINKS,bTV,2021-01-23,2021-01-31,National,1000,Provided,Not Available,0.1%,28.6%,20.9%,3.4%,Not Available,Not Available,Not Available,Not Available,11.9%,Not Available,Not Available,10.7%,Not Available,Not Available,15.5%,5.3%,Not Available,Not Available,Not Available,Not Available,3.8%
Trend,24 hours,2021-01-12,2021-01-19,National,1008,Provided,100%,0.1%,27.6%,24.9%,4%,Not Available,Not Available,0.7%,0.5%,10.3%,1.3%,Not Available,6%,Not Available,Not Available,11.8%,4.1%,1.1%,Not Available,Not Available,Not Available,7.7%
Gallup,,2021-01-07,2021-01-15,National,1010,Provided,89.6%,0.1%,25.6%,21.4%,5.1%,Not Available,Not Available,Not Available,Not Available,12.2%,2.3%,Not Available,6.9%,Not Available,Not Available,13.8%,5%,1.6%,Not Available,Not Available,Not Available,6.0%
Alpha Research,,2020-12-15,2020-12-21,National,504,Provided,83.7%,0.1%,29%,26.2%,3.2%,Not Available,Not Available,Not Available,Not Available,8.6%,Not Available,Not Available,7.3%,Not Available,Not Available,12.2%,5.9%,0.6%,Not Available,Not Available,Not Available,7.0%
Mediana,,2020-12-12,2020-12-17,National,954,Provided,76.6%,0.1%,24.2%,25.7%,4.7%,Not Available,Not Available,Not Available,Not Available,10.8%,1.6%,Not Available,3.4%,Not Available,Not Available,17%,4.8%,Not Available,Not Available,Not Available,Not Available,7.8%
Exacta,,2020-12-05,2020-12-12,National,1025,Provided,64.5%,0.1%,28.8%,25.6%,5.4%,Not Available,Not Available,Not Available,Not Available,8.4%,Not Available,Not Available,6%,Not Available,Not Available,14%,3.7%,Not Available,Not Available,Not Available,Not Available,8.1%
Sova Harris,,2020-10-27,2020-11-03,National,1000,Provided,Not Available,0.1%,26.6%,25.1%,5.5%,Not Available,Not Available,Not Available,Not Available,8.7%,3.2%,Not Available,8.4%,Not Available,Not Available,11.4%,5.7%,Not Available,Not Available,Not Available,Not Available,5.4%
Rego,,2020-10-21,2020-10-27,National,2000,Provided,Not Available,0.1%,27.1%,26.3%,2.8%,Not Available,Not Available,Not Available,Not Available,8.3%,1.1%,Not Available,7.6%,Not Available,Not Available,18.6%,3.9%,Not Available,Not Available,Not Available,Not Available,4.3%
Trend,24 hours,2020-10-03,2020-10-10,National,1008,Provided,Not Available,0.1%,24.1%,23.6%,3.8%,Not Available,Not Available,Not Available,Not Available,10.2%,1.6%,Not Available,8.8%,Not Available,Not Available,15.9%,3.9%,Not Available,Not Available,Not Available,Not Available,8.1%
Gallup,,2020-10-01,2020-10-09,National,803,Provided,Not Available,0.1%,19.1%,19.8%,3.4%,Not Available,Not Available,Not Available,Not Available,10.1%,2.6%,Not Available,7.3%,Not Available,Not Available,12.6%,3.7%,Not Available,Not Available,Not Available,Not Available,21.4%
Alpha Research,,2020-09-21,2020-09-30,National,1031,Provided,Not Available,0.1%,22.8%,21.8%,4.2%,Not Available,Not Available,Not Available,Not Available,11%,0.3%,Not Available,10.5%,Not Available,Not Available,16.6%,5.1%,0.9%,Not Available,Not Available,Not Available,6.8%
Market LINKS,,2020-09-18,2020-09-26,National,1058,Provided,Not Available,0.1%,24.6%,25.5%,2.8%,Not Available,Not Available,Not Available,Not Available,11.7%,Not Available,Not Available,10%,Not Available,Not Available,17%,4.2%,Not Available,Not Available,Not Available,Not Available,4.2%
Gallup,,2020-09-03,2020-09-11,National,515,Provided,Not Available,0.1%,20.7%,21.2%,2.7%,Not Available,Not Available,Not Available,Not Available,7.6%,1.8%,Not Available,5.2%,Not Available,Not Available,16.4%,4.1%,Not Available,Not Available,Not Available,Not Available,Not Available
Trend,24 hours,2020-08-29,2020-09-05,National,1008,Provided,Not Available,0.1%,23.8%,23.4%,3.9%,Not Available,Not Available,1.1%,0.2%,10.4%,1.2%,Not Available,9.9%,Not Available,Not Available,15.9%,4%,1.2%,Not Available,Not Available,Not Available,Not Available
Sova Harris,,2020-08-19,2020-08-25,National,1000,Provided,64.2%,0.1%,27.7%,24.5%,Not Available,3.7%,0.6%,0.9%,1.1%,9.2%,3.0%,Not Available,7.0%,Not Available,Not Available,15.7%,4.5%,0.6%,Not Available,Not Available,Not Available,1.0%
Trend,24 hours,2020-08-03,2020-08-10,National,1010,Provided,Not Available,0.1%,24.2%,22.9%,4.1%,Not Available,Not Available,1.1%,0.2%,9.8%,1.2%,Not Available,10.1%,Not Available,Not Available,14.9%,4.4%,0.8%,Not Available,Not Available,Not Available,2.8%
Gallup,,2020-07-30,2020-08-07,National,811,Provided,66.0%,0.1%,22.0%,21.1%,3.5%,Not Available,Not Available,Not Available,Not Available,10.3%,Not Available,Not Available,8.6%,Not Available,Not Available,12.0%,3.6%,Not Available,Not Available,Not Available,Not Available,16.5%
CAM,,2020-08-01,2020-08-05,National,1021,Provided,Not Available,0.1%,30.1%,19.7%,4.3%,Not Available,Not Available,Not Available,Not Available,10.8%,2.1%,Not Available,10.1%,Not Available,Not Available,13.9%,5%,Not Available,Not Available,Not Available,Not Available,3.9%
Market LINKS,bTV,2020-07-28,2020-08-03,National,1093,Provided,65.3%,0.1%,23.3%,20.7%,4.6%,Not Available,Not Available,Not Available,Not Available,9.6%,Not Available,Not Available,10.1%,Not Available,Not Available,23.0%,4.0%,Not Available,Not Available,Not Available,Not Available,4.7%
Gallup,,2020-07-01,2020-07-31,National,Not Available,N/A,Not Available,0.01%,27.36%,25.75%,4.45%,Not Available,Not Available,Not Available,Not Available,8.49%,2.43%,Not Available,3.23%,Not Available,Not Available,8.63%,1.75%,Not Available,Not Available,Not Available,Not Available,17.92%
Alpha Research,Dnevnik,2020-07-23,2020-07-30,National,1017,Provided,54.3%,0.1%,26.7%,19.2%,4.1%,Not Available,Not Available,Not Available,Not Available,8.3%,0.9%,Not Available,12.3%,Not Available,Not Available,18.8%,5.9%,0.6%,Not Available,Not Available,Not Available,3.3%
Sova Harris,,2020-06-26,2020-07-01,National,1000,Provided,57.0%,0.1%,37.4%,21.4%,Not Available,6.8%,0.7%,1.2%,1.8%,7.7%,4.2%,Not Available,4.2%,Not Available,Not Available,9.1%,2.6%,2.8%,Not Available,Not Available,Not Available,Not Available
Gallup,,2020-06-01,2020-06-30,National,Not Available,N/A,Not Available,0.01%,29.04%,23.13%,3.81%,Not Available,Not Available,Not Available,Not Available,7.88%,2.37%,Not Available,3.15%,Not Available,Not Available,6.96%,2.37%,Not Available,Not Available,Not Available,Not Available,21.29%
Market LINKS,bTV,2020-05-27,2020-06-03,National,995,Provided,82.0%,0.1%,34.1%,25.6%,Not Available,3.7%,Not Available,Not Available,Not Available,9.8%,Not Available,Not Available,8.5%,Not Available,Not Available,9.8%,Not Available,Not Available,Not Available,Not Available,Not Available,8.5%
Alpha Research,Dnevnik,2020-04-28,2020-05-05,National,1000,Provided,62.2%,0.1%,33.4%,19.6%,6.3%,Not Available,Not Available,1.4%,Not Available,10.3%,1.6%,Not Available,5.9%,Not Available,Not Available,14.6%,Not Available,Not Available,Not Available,Not Available,Not Available,6.8%
Mediana,,2020-02-21,2020-02-28,National,1008,Provided,Not Available,0.1%,29.4%,25.74%,5.83%,Not Available,Not Available,Not Available,Not Available,13.28%,1.9%,Not Available,2.71%,Not Available,Not Available,12.87%,Not Available,Not Available,Not Available,Not Available,Not Available,8.26%
Trend,24 hours,2020-02-03,2020-02-10,National,1007,Provided,63.9%,0.1%,31.8%,28.3%,Not Available,4.1%,Not Available,1.6%,Not Available,10.5%,2.0%,Not Available,6.3%,Not Available,Not Available,11.1%,Not Available,Not Available,Not Available,Not Available,Not Available,2.7%
Alpha Research,Dnevnik,2019-12-05,2019-12-12,National,1017,Provided,72.7%,0.1%,29.8%,25.0%,7.3%,Not Available,Not Available,1.9%,Not Available,10.7%,2.1%,Not Available,7.0%,Not Available,Not Available,11.8%,Not Available,Not Available,Not Available,Not Available,Not Available,4.3%
Market LINKS,bTV,2019-11-21,2019-11-28,National,980,Provided,63.0%,0.1%,28.6%,25.4%,6.3%,Not Available,Not Available,Not Available,Not Available,12.7%,1.6%,Not Available,7.9%,Not Available,Not Available,12.7%,Not Available,Not Available,Not Available,Not Available,Not Available,3.2%
Trend,24 hours,2019-11-07,2019-11-15,National,1008,Provided,64.3%,0.1%,37.0%,28.6%,Not Available,5.3%,Not Available,1.7%,Not Available,10.7%,1.9%,Not Available,4.8%,Not Available,Not Available,7.9%,Not Available,Not Available,Not Available,Not Available,Not Available,2.0%
Alpha Research,Dnevnik,2019-09-10,2019-09-16,National,1023,Provided,72.6%,0.1%,29.6%,25.8%,6.6%,Not Available,Not Available,2.6%,Not Available,11.8%,2.8%,Not Available,5.6%,Not Available,Not Available,11.4%,Not Available,Not Available,Not Available,Not Available,Not Available,3.7%
Trend,24 hours,2019-07-05,2019-07-12,National,1008,Provided,62.5%,0.1%,38.1%,30.2%,Not Available,5.8%,2.1%,1.8%,Not Available,11.4%,1.9%,Not Available,5.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.5%
Market LINKS,bTV,2019-06-11,2019-06-19,National,1001,Provided,87.7%,0.1%,34.9%,33.0%,6.8%,Not Available,Not Available,Not Available,Not Available,9.1%,3.8%,Not Available,6.0%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6.4%
Trend,,2019-06-05,2019-06-12,National,1008,Provided,Not Available,0.1%,36.7%,29.1%,7.4%,Not Available,Not Available,Not Available,Not Available,10.9%,2%,Not Available,5.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8.8%
Mediana,,2019-05-02,2019-05-07,European,1008,Provided,Not Available,1%,30%,32%,Not Available,5%,4%,3%,4%,11%,5%,Not Available,3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Alpha Research,Dnevnik,2019-04-20,2019-04-30,European,1015,Provided,Not Available,1%,33%,33%,Not Available,6%,2%,1%,1%,10%,2%,Not Available,5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Market LINKS,,2019-04-12,2019-04-22,European,1049,Provided,Not Available,0.1%,35.4%,35.9%,Not Available,5.7%,Not Available,Not Available,Not Available,7.0%,1.9%,Not Available,5.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8.8%
Trend,24 hours,2019-04-05,2019-04-12,European,1008,Provided,Not Available,0.1%,30.5%,31.3%,Not Available,5.5%,1.3%,2.0%,1.3%,12.7%,3.6%,Not Available,4.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.5%
Gallup,,2019-04-05,2019-04-11,European,1015,Provided,Not Available,0.1%,31.0%,32.1%,Not Available,5.0%,1.4%,1.9%,1.5%,11.1%,3.5%,2%,4.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8.0%
Alpha Research,Dnevnik,2019-03-22,2019-03-26,European,1011,Provided,Not Available,0.1%,33.9%,33.4%,Not Available,4.1%,2.2%,2.1%,1.2%,10.6%,1.9%,Not Available,5.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.5%
Trend,24 hours,2019-03-06,2019-03-13,European,1005,Provided,Not Available,0.1%,33.6%,30.4%,Not Available,4.4%,1.8%,2.3%,Not Available,12.1%,3.2%,Not Available,4.4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.8%
Sova Harris,,2019-03-06,2019-03-11,European,1000,Provided,Not Available,0.1%,38.2%,30.6%,Not Available,3.0%,1.3%,3.0%,1.3%,11.5%,3.3%,Not Available,3.2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.6%
AFIS,,2019-02-22,2019-02-28,European,1010,Provided,Not Available,0.1%,31.6%,37.5%,7.3%,Not Available,Not Available,Not Available,Not Available,13.0%,Not Available,Not Available,1.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9.0%
Mediana,,2020-02-21,2020-02-28,National,1008,Provided,Not Available,0.1%,29.4%,25.74%,5.83%,Not Available,Not Available,Not Available,Not Available,13.28%,1.9%,Not Available,2.71%,Not Available,Not Available,12.87%,Not Available,Not Available,Not Available,Not Available,Not Available,8.26%
Exacta,,2019-02-19,2019-02-28,European,1000,Provided,Not Available,0.1%,35.1%,29.0%,9.6%,Not Available,Not Available,Not Available,1.5%,10.3%,1.5%,Not Available,3.7%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9.3%
Market LINKS,,2019-02-15,2019-02-25,European,1018,Provided,Not Available,0.1%,36.2%,29.7%,7.5%,Not Available,Not Available,Not Available,Not Available,8.3%,2.5%,Not Available,6.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9.2%
Trend,24 hours,2019-02-05,2019-02-13,European,1007,Provided,Not Available,0.1%,33.6%,31.2%,6.8%,Not Available,Not Available,Not Available,Not Available,11.7%,2.7%,Not Available,4.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9.9%
Sova Harris,,2019-01-19,2019-01-21,European,985,Provided,Not Available,0.1%,37.6%,32.6%,9.4%,Not Available,Not Available,Not Available,1.4%,9.4%,2.9%,Not Available,3.2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.3%
Market LINKS,,2019-01-12,2019-01-21,European,1007,Provided,Not Available,0.1%,37.9%,27.1%,8.5%,Not Available,Not Available,Not Available,Not Available,10.0%,1.3%,Not Available,6.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8.7%
AFIS,,2019-01-14,2019-01-19,European,1010,Provided,Not Available,0.1%,32.9%,34.6%,4.7%,Not Available,Not Available,Not Available,Not Available,11.0%,1.4%,2%,1.4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12.0%
Trend,24 hours,2019-01-10,2019-01-17,European,1008,Provided,Not Available,1%,36%,34%,7%,Not Available,Not Available,Not Available,Not Available,14%,3%,Not Available,4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Alpha Research,Dnevnik,2018-12-14,2018-12-18,European,1027,Provided,Not Available,1%,33%,31%,6%,Not Available,Not Available,Not Available,Not Available,11%,4%,Not Available,6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Exacta,,2018-12-10,2018-12-17,National,1000,Provided,66.0%,0.1%,35.6%,31.5%,5.8%,Not Available,Not Available,Not Available,1.5%,7.7%,1.5%,1.5%,3.8%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10.6%
Trend,24 hours,2018-11-30,2018-12-06,National,1007,Provided,61.5%,0.1%,36.1%,33.7%,7.2%,Not Available,Not Available,Not Available,Not Available,10.6%,2.3%,1.6%,3.4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.2%
Market LINKS,,2018-11-16,2018-11-25,National,1005,Provided,41.0%,0.1%,41.2%,38.5%,5.6%,Not Available,Not Available,Not Available,Not Available,11.2%,2.7%,Not Available,7.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18.8%
Trend,24 hours,2018-11-06,2018-11-12,National,1004,Provided,59.8%,0.1%,35.5%,33.3%,7.0%,Not Available,Not Available,Not Available,Not Available,10.9%,2.3%,1.8%,3.2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6.0%
Market LINKS,,2018-10-15,2018-10-24,National,1032,Provided,56.8%,0.1%,34.2%,30.5%,7.4%,Not Available,Not Available,Not Available,Not Available,7.9%,1.4%,Not Available,5.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13.2%
Trend,24 hours,2018-10-01,2018-10-09,National,1006,Provided,61.4%,0.1%,36.5%,32.4%,9.0%,Not Available,Not Available,Not Available,Not Available,10.9%,2.8%,1.6%,3.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.7%
Exacta,,2018-09-28,2018-10-05,National,1000,Provided,65.8%,0.1%,36.0%,30.5%,8.4%,Not Available,Not Available,Not Available,1.7%,9.3%,1.8%,1.5%,3.0%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.8%
Alpha Research,Dnevnik,2018-09-23,2018-09-30,National,1027,Provided,63.4%,0.1%,35.0%,31.1%,7.4%,Not Available,Not Available,Not Available,Not Available,10.4%,3.2%,Not Available,4.6%,Not Available,Not Available,Not Available,Not Available,0.8%,Not Available,Not Available,Not Available,7.6%
Sova Harris,BGNES,2018-09-08,2018-09-14,National,1000,Provided,59.1%,0.1%,40.8%,33.8%,8.0%,Not Available,Not Available,Not Available,0.7%,10.5%,1.4%,Not Available,2.5%,0.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.0%
