Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,Slovenska demokratska stranka,Lista Marjana Šarca,Socialni demokrati,Stranka modernega centra,Levica,Nova Slovenija–Krščanski demokrati,Stranka Alenke Bratušek,Demokratična stranka upokojencev Slovenije,Slovenska nacionalna stranka,Slovenska ljudska stranka,Piratska stranka Slovenije,Dobra država,Zeleni Slovenije,Lista Roberta Goloba,Konkretno,Povežimo Slovenijo,Gibanje Svoboda,Naša dežela,Resni.ca,VESNA–Zelena stranka,Liberalni demokrati,Other
Mediana,Delo,2019-05-08,2019-05-15,European,732,Provided,Not Available,0.1%,17.4%,15.3%,15.9%,1.7%,9.1%,10.4%,3.7%,5%,11.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9.9%
Ninamedia,Dnevnik and RTV Slovenija,2019-05-14,2019-05-16,National,700,Provided,Not Available,1%,24%,32%,15%,0%,8%,6%,2%,4%,2%,3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Mediana,POP TV and Delo,2019-05-08,2019-05-15,National,732,Provided,Not Available,0.1%,22.0%,24.0%,10.1%,1.6%,12.2%,8.1%,3.2%,4.6%,5.2%,3.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Mediana,POP TV,2019-05-08,2019-05-15,European,714,Provided,Not Available,0.1%,17.4%,15.3%,15.9%,1.7%,9.1%,10.4%,3.7%,5.0%,11.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Ninamedia,Dnevnik and RTV Slovenija,2019-05-14,2019-05-16,European,700,Provided,Not Available,0.1%,22.7%,20.3%,21.7%,0.0%,7.0%,9.1%,3.4%,8.2%,6.0%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Mediana,POP TV,2019-04-28,2019-04-28,National,714,Provided,81.7%,0.1%,14.3%,17.2%,6.4%,3.5%,5.9%,5.5%,1.3%,2.4%,3.9%,1.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.7%
Ninamedia,Dnevnik and RTV Slovenija,2019-04-09,2019-04-11,National,700,Provided,71.6%,0.1%,14.2%,26.2%,9.6%,0.5%,6.4%,7.1%,1.9%,3.1%,1.5%,0.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.5%
Parsifal SC,Nova24TV,2019-04-01,2019-04-04,National,702,Provided,68.4%,0.1%,18.9%,16.8%,7.1%,1.8%,4.7%,5.0%,2.1%,3.0%,4.2%,3.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.4%
Mediana,POP TV,2019-03-24,2019-03-24,National,792,Provided,72.3%,0.1%,15.9%,16.6%,5.7%,3.2%,6.5%,6.6%,3.5%,3.3%,2.8%,1.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.8%
Ninamedia,Dnevnik and RTV Slovenija,2019-03-12,2019-03-14,National,700,Provided,74.5%,0.1%,13.7%,28.0%,8.1%,0.4%,6.2%,8.2%,1.9%,3.1%,2.4%,1.7%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.0%
Mediana,Delo,2019-02-26,2019-03-07,National,729,Provided,70.9%,0.1%,16.0%,19.4%,6.7%,0.8%,8.1%,6.8%,1.5%,2.8%,2.1%,1.9%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.8%
Mediana,POP TV,2019-02-24,2019-02-24,National,707,Provided,73.0%,0.1%,16.1%,20.6%,5.4%,2.5%,6.7%,4.8%,3.3%,3.3%,2.5%,2.9%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.4%
Ninamedia,Dnevnik and RTV Slovenija,2019-02-12,2019-02-14,National,700,Provided,75.6%,0.1%,11.6%,31.3%,8.9%,2.7%,6.2%,3.9%,2.9%,2.9%,2.5%,2.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.7%
Ninamedia,MMC and RTV Slovenija,2019-01-29,2019-02-06,National,731,Provided,86%,0.1%,15.1%,22.4%,5.8%,2.7%,5.4%,5.2%,2.4%,1.7%,2.6%,1.4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Ninamedia,MMC and RTV Slovenija,2019-01-08,2019-01-10,National,700,Provided,71.2%,0.1%,16.9%,18.0%,11.7%,3.1%,7.1%,4.1%,2.5%,2.9%,1.7%,3.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.1%
Ninamedia,,2018-12-11,2018-12-13,National,700,Provided,Not Available,1%,26%,18%,17%,4%,10%,8%,3%,4%,3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Parsifal SC,,2018-12-04,2018-12-07,National,712,Provided,Not Available,1%,28%,16%,16%,3%,6%,7%,4%,7%,8%,2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Mediana,POP TV,2018-11-25,2018-11-25,National,714,Provided,73.0%,0.1%,18.3%,7.0%,8.9%,3.7%,6.1%,5.5%,3.2%,3.4%,3.8%,3.8%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.5%
Ninamedia,Dnevnik and RTV Slovenija,2018-11-19,2018-11-20,National,700,Provided,76.6%,0.1%,18.0%,12.2%,14.7%,5.0%,8.1%,6.1%,2.3%,3.7%,3.7%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.1%
Parsifal SC,,2018-11-07,2018-11-07,National,706,Provided,Not Available,1%,29%,18%,15%,3%,6%,6%,3%,3%,6%,6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Mediana,,2018-11-01,2018-11-01,National,725,Provided,Not Available,1%,31%,13%,11%,5%,10%,8%,5%,5%,4%,3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Mediana,Delo,2018-10-03,2018-10-11,National,725,Provided,Not Available,1%,28%,14%,11%,7%,9%,7%,6%,3%,Not Available,3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Ninamedia,,2018-10-09,2018-10-11,National,700,Provided,Not Available,1%,24%,19%,17%,6%,10%,7%,4%,6%,3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Ninamedia,,2018-09-11,2018-09-13,National,700,Provided,80.1%,0.1%,23.7%,10.2%,9.8%,7.1%,6.2%,6.1%,3.7%,3.0%,2.4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.1%
Mediana,Delo,2018-08-30,2018-09-06,National,715,Provided,66.9%,0.1%,17.9%,7.2%,6.6%,4.4%,6.9%,4.7%,3.2%,4.0%,3.2%,3.0%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.8%
Mediana,POP TV,2018-08-26,2018-08-26,National,730,Provided,67.8%,0.1%,20.9%,9.1%,6.9%,4.3%,6.4%,4.4%,3.2%,1.9%,3.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.6%
Ninamedia,Dnevnik and RTV Slovenija,2018-08-13,2018-08-15,National,700,Provided,80.3%,0.1%,24.0%,10.1%,10.1%,3.1%,6.8%,4.8%,1.7%,3.2%,2.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14.2%
Mediana,POP TV,2018-07-29,2018-07-29,National,730,Provided,72.5%,0.1%,20.0%,10.4%,7.0%,4.8%,7.4%,5.1%,3.8%,1.7%,4.1%,1.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.5%
Ninamedia,Dnevnik and RTV Slovenija,2018-07-10,2018-07-12,National,700,Provided,86.4%,0.1%,25.3%,10.7%,8.8%,8.9%,7.6%,4.8%,3.0%,3.1%,2.2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12.0%
Mediana,POP TV,2018-06-01,2018-06-23,National,743,Provided,80.3%,0.1%,24.7%,10.1%,8.2%,5.6%,8.4%,4.6%,3.5%,2.7%,3.8%,2.0%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.4%
Ninamedia,Dnevnik and RTV Slovenija,2018-06-12,2018-06-14,National,700,Provided,85.7%,0.1%,25.1%,11.6%,9.2%,9.2%,8.8%,3.2%,3.8%,3.1%,3.4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8.3%
Parsifal SC,Nova24TV,2018-06-05,2018-06-06,National,690,Provided,73.5%,0.1%,23.0%,12.2%,8.8%,5.5%,7.5%,4.3%,3.5%,1.2%,3.4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.2%
