Polling firm     | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | HDZ  | SDP  | Most | Živi zid | HNS | HSS | BM 365 | IDS | P   | START | GLAS | NHR | NLMK | Hrast | HS  | DPMŠ | AK   | HKS | Mož  | Other
Promocija plus   | HRT           | 2018-12-08      | 2018-12-08    | NE    | (1300)      | 87.2          | 0.1       | 28.1 | 17.0 | 7.3  | 12.4     | 2.1 | 3.1 | 2.7    | 1.5 | 1.9 | N/A   | 1.7  | 2.7 | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 3.4
2x1 Komunikacije | CroElecto     | 2018-11-23      | 2018-11-23    | E     | (1041)      | N/A           | 0.1       | 25.5 | 18.5 | 7.8  | 7.8      | 1.2 | N/A | N/A    | N/A | N/A | N/A   | N/A  | 7.6 | N/A  | N/A   | N/A | N/A  | 13.1 | 1.0 | N/A  | N/A
2x1 Komunikacije | CroElecto     | 2018-11-23      | 2018-11-23    | N     | (1041)      | 84.0          | 0.1       | 27.2 | 19.9 | 6.1  | 9.2      | 0.9 | 0.9 | 0.9    | 1.7 | 1.9 | N/A   | 3.0  | 5.5 | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 6.8
IPSOS PULS       | Nova TV       | 2018-11-01      | 2018-11-20    | NE    | 987         | 70.7          | 0.1       | 29.3 | 14.6 | 6.0  | 13.5     | 2.3 | 3.6 | 3.8    | 1.5 | 2.9 | N/A   | N/A  | 2.1 | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 11
Promocija plus   | HRT           | 2018-11-08      | 2018-11-08    | NE    | 1300        | 86.7          | 0.1       | 28.4 | 17.4 | 6.3  | 12.1     | 1.7 | 3.2 | 2.1    | 1.9 | 1.9 | N/A   | N/A  | N/A | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 11.7
2x1 Komunikacije | CroElecto     | 2018-10-27      | 2018-10-27    | NE    | (1041)      | 83.4          | 0.1       | 26.6 | 19.8 | 6.7  | 9.2      | 0.9 | 1.4 | 0.5    | 1.1 | 1.4 | N/A   | 2.5  | 5.1 | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 8.2
IPSOS PULS       | Nova TV       | 2018-10-01      | 2018-10-18    | NE    | 984         | 90.9          | 0.1       | 29.1 | 16.3 | 6.6  | 13.2     | 1.5 | 3.3 | 3.9    | 1.8 | 3.2 | N/A   | N/A  | N/A | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 12.0
Promocija plus   | HRT           | 2018-10-02      | 2018-10-05    | NE    | 1300        | 86.9          | 0.1       | 27.5 | 17.7 | 6.0  | 12.4     | 1.7 | 3.5 | 2.9    | 1.7 | 2.8 | N/A   | N/A  | N/A | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 10.6
2x1 Komunikacije | CroElecto     | 2018-09-21      | 2018-09-21    | NE    | 1041        | 85.9          | 0.1       | 27.3 | 20.4 | 7.3  | 9.9      | 0.9 | 0.6 | 0.6    | 1.1 | 1.4 | N/A   | 3.9  | 5.0 | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 2.2
IPSOS PULS       | Nova TV       | 2018-09-01      | 2018-09-20    | NE    | 989         | 90.8          | 0.1       | 29.2 | 17.2 | 8.3  | 12.6     | 1.0 | 3.7 | 3.3    | 2.0 | 2.9 | N/A   | N/A  | N/A | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 9.2
Promocija plus   | HRT           | 2018-09-08      | 2018-09-08    | NE    | 1300        | 87.6          | 0.1       | 27.2 | 18.1 | 6.8  | 12.7     | 1.8 | 3.3 | 3.6    | 1.4 | 2.5 | N/A   | N/A  | N/A | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 10.2
2x1 Komunikacije | CroElecto     | 2018-08-13      | 2018-08-23    | NE    | 1041        | 84.7          | 0.1       | 24.5 | 19.7 | 7.5  | 9.0      | 1.0 | 0.9 | 1.4    | 1.3 | 1.7 | N/A   | 2.6  | 3.2 | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 8.3
IPSOS PULS       | Nova TV       | 2018-08-01      | 2018-08-20    | NE    | 982         | 91.5          | 0.1       | 28.9 | 17.3 | 7.3  | 13.4     | 1.1 | 4.5 | 3.8    | 2.4 | 3.1 | N/A   | N/A  | N/A | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 11.4
Promocija plus   | HRT           | 2018-08-02      | 2018-08-05    | NE    | 1300        | 87.3          | 0.1       | 26.0 | 18.0 | 7.5  | 13.2     | 1.9 | 2.6 | 3.1    | 1.7 | 2.4 | N/A   | N/A  | N/A | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 10.8
2x1 Komunikacije | CroElecto     | 2018-07-09      | 2018-07-20    | NE    | 1041        | 79.8          | 0.1       | 25.0 | 19.4 | 6.1  | 9.6      | 0.8 | 0.7 | 0.7    | 1.6 | N/A | N/A   | 1.6  | 4.8 | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 9.5
IPSOS PULS       | Nova TV       | 2018-07-01      | 2018-07-20    | NE    | 984         | 90.4          | 0.1       | 27.1 | 18.3 | 7.8  | 12.3     | 1.0 | 3.0 | 3.7    | 2.7 | 3.1 | N/A   | N/A  | N/A | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 11.4
Promocija plus   | HRT           | 2018-07-02      | 2018-07-05    | NE    | 1300        | 86.6          | 0.1       | 25.0 | 18.7 | 7.3  | 13.4     | 2.0 | 2.1 | 2.5    | 1.7 | 2.3 | N/A   | N/A  | N/A | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 11.7
IPSOS PULS       | Nova TV       | 2018-06-01      | 2018-06-20    | NE    | 975         | 90.5          | 0.1       | 27.6 | 18.5 | 7.7  | 13.8     | 1.8 | 2.7 | 3.2    | 2.2 | 3.2 | N/A   | N/A  | N/A | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 9.8
2x1 Komunikacije | CroElecto     | 2018-06-15      | 2018-06-15    | NE    | (1041)      | 77.4          | 0.1       | 23.8 | 18.5 | 6.1  | 10.7     | N/A | N/A | N/A    | 1.7 | 1.4 | N/A   | 1.8  | 3.2 | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 10.0
Promocija plus   | HRT           | 2018-05-06      | 2018-06-07    | NE    | 1300        | 86.3          | 0.1       | 24.8 | 19.1 | 7.8  | 13.1     | 1.9 | 3.0 | 2.0    | 1.5 | 1.5 | N/A   | N/A  | N/A | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 11.5
2x1 Komunikacije | CroElecto     | 2018-05-24      | 2018-05-24    | NE    | (1041)      | 81.6          | 0.1       | 24.7 | 20.7 | 6.9  | 11.1     | 0.4 | 1.2 | N/A    | 2.0 | N/A | N/A   | 2.5  | 3.9 | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 7.2
IPSOS PULS       | Nova TV       | 2018-05-01      | 2018-05-20    | NE    | 979         | 91.1          | 0.1       | 26.6 | 18.2 | 7.7  | 14.5     | 1.4 | 3.6 | 3.5    | 2.1 | 3.7 | N/A   | N/A  | N/A | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 13.5
Promocija plus   | HRT           | 2018-05-02      | 2018-05-05    | NE    | 1300        | 86.9          | 0.1       | 26.4 | 20.7 | 7.6  | 12.7     | 2.2 | 2.4 | 2.2    | 1.7 | 1.7 | N/A   | N/A  | N/A | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 10.0
2x1 Komunikacije | CroElecto     | 2018-04-16      | 2018-04-24    | NE    | 1041        | 84.9          | 0.1       | 25.1 | 21.2 | 9.9  | 12.9     | 1.1 | 1.3 | N/A    | 2.0 | 1.0 | N/A   | 1.1  | 4.6 | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 4.7
IPSOS PULS       | Nova TV       | 2018-04-01      | 2018-04-20    | NE    | 988         | 91.6          | 0.1       | 27.6 | 18.0 | 7.1  | 13.8     | 1.0 | 4.6 | 3.0    | 2.6 | 2.9 | N/A   | N/A  | N/A | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 11.0
Promocija plus   | HRT           | 2018-04-08      | 2018-04-08    | NE    | 1300        | 85.5          | 0.1       | 26.8 | 21.1 | 8.1  | 11.2     | 1.9 | 2.1 | 2.0    | 1.6 | 1.6 | N/A   | N/A  | N/A | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 9.1
IPSOS PULS       | Nova TV       | 2018-03-01      | 2018-03-20    | NE    | 976         | 93.6          | 0.1       | 29.5 | 19.3 | 7.1  | 12.9     | 2.0 | 2.9 | 4.1    | 2.6 | 3.0 | N/A   | N/A  | N/A | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 10.2
2x1 Komunikacije | CroElecto     | 2018-03-17      | 2018-03-17    | NE    | 1041        | 86.6          | 0.1       | 26.4 | 22.1 | 7.9  | 11.1     | 0.9 | N/A | 1.1    | 1.5 | N/A | N/A   | 2.0  | 4.0 | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 9.6
Promocija plus   | HRT           | 2018-02-28      | 2018-03-03    | NE    | 1300        | 85.3          | 0.1       | 28.9 | 20.8 | 7.1  | 10.9     | 2.0 | 2.5 | 2.2    | 1.6 | 1.4 | N/A   | N/A  | N/A | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 8.0
IPSOS PULS       | Nova TV       | 2018-02-01      | 2018-02-20    | NE    | 969         | 91.8          | 0.1       | 29.8 | 19.8 | 6.6  | 12.3     | 2.1 | 2.4 | 3.0    | 2.6 | 3.3 | N/A   | N/A  | N/A | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 10.0
2x1 Komunikacije | CroElecto     | 2018-02-21      | 2018-02-21    | NE    | (1041)      | N/A           | 0.1       | 28.2 | 21.9 | 7.8  | 12.4     | 1.8 | 1.0 | 1.5    | 1.7 | N/A | N/A   | 2.3  | 3.3 | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | N/A
Promocija plus   | HRT           | 2018-02-04      | 2018-02-04    | NE    | 1300        | 85.0          | 0.1       | 29.3 | 21.1 | 6.1  | 11.8     | 2.0 | 2.9 | 2.2    | 1.1 | 1.0 | N/A   | N/A  | N/A | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 7.5
2x1 Komunikacije | CroElecto     | 2018-01-26      | 2018-01-26    | NE    | 1041        | N/A           | 0.1       | 32.7 | 19.0 | 5.0  | 9.0      | N/A | N/A | N/A    | 1.2 | N/A | N/A   | N/A  | 1.3 | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | N/A
IPSOS PULS       | Nova TV       | 2018-01-01      | 2018-01-20    | NE    | 969         | 92.4          | 0.1       | 30.1 | 20.9 | 6.8  | 13.0     | 2.4 | 2.1 | 3.4    | 2.5 | 2.4 | N/A   | N/A  | N/A | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 8.8
Promocija plus   | HRT           | 2018-01-02      | 2018-01-05    | NE    | (1300)      | 85.4          | 0.1       | 29.0 | 20.6 | 7.0  | 11.4     | 1.4 | 3.2 | 2.3    | 1.2 | 1.2 | N/A   | N/A  | N/A | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 8.1
