Polling firm  | Commissioners  | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | AKP  | CHP  | HDP  | MHP  | İYİ  | SP  | GP  | DEVA | MP  | YRP | TİP | ZP  | YSP  | Other
ORC           | N/A            | 2021-09-01      | 2021-09-05    | N     | 4180        | N/A           | 0.1       | 32.1 | 25.3 | 7.9  | 9.7  | 12.7 | 1.2 | 2.5 | 4.5  | 1.6 | N/A | N/A | N/A | N/A  | 2.5
AKAM          | Self           | 2021-08-21      | 2021-08-28    | N     | 2460        | N/A           | 0.1       | 28.3 | 26.6 | 9.6  | 7.1  | 14.1 | 1.3 | 2.7 | 5.8  | 1.3 | N/A | 1.0 | N/A | N/A  | 2.2
MetroPOLL     | N/A            | 2021-08-19      | 2021-08-23    | N     | 1717        | N/A           | 0.1       | 32.2 | 23.4 | 12.4 | 11.3 | 14.6 | 1.5 | N/A | 0.9  | 1.3 | N/A | N/A | N/A | N/A  | 2.4
MAK           | N/A            | 2021-08-05      | 2021-08-14    | N     | 5700        | N/A           | 0.1       | 33.9 | 22.7 | 8.4  | 7.7  | 14.7 | 1.6 | 2.9 | 2.7  | N/A | N/A | N/A | N/A | N/A  | 5.4
Yöneylem      | Self           | 2021-08-01      | 2021-08-31    | N     | 3040        | N/A           | 0.1       | 31.5 | 27.1 | 10.3 | 8.2  | 14.7 | 1.1 | 0.6 | 1.7  | 0.6 | 0.6 | N/A | N/A | N/A  | 3.6
AREA          | N/A            | 2021-08-01      | 2021-08-23    | N     | N/A         | N/A           | 0.1       | 33.4 | 24.9 | 10.9 | 9.1  | 15.4 | N/A | N/A | N/A  | N/A | N/A | N/A | N/A | N/A  | 6.4
AKAM          | Self           | 2021-08-01      | 2021-08-17    | N     | N/A         | N/A           | 0.1       | 30.3 | 28.3 | 9.9  | 7.2  | 13.9 | 1.5 | 2.0 | 4.5  | N/A | N/A | N/A | N/A | N/A  | 2.4
İEA           | Self           | 2021-08-01      | 2021-08-12    | N     | ~1500       | N/A           | 0.1       | 32.4 | 23.8 | 12.0 | 8.2  | 16.3 | 1.1 | 2.1 | 2.8  | N/A | N/A | N/A | N/A | N/A  | 1.3
ALF           | N/A            | 2021-07-29      | 2021-08-04    | N     | 5875        | N/A           | 0.1       | 32.7 | 26.2 | 9.4  | 8.8  | 13.1 | 1.4 | 3.1 | 2.5  | N/A | N/A | N/A | N/A | N/A  | 2.8
Aksoy         | N/A            | 2021-07-29      | 2021-08-03    | N     | 1067        | N/A           | 0.1       | 30.6 | 28.7 | 9.3  | 8.0  | 13.3 | 0.8 | 1.7 | 2.6  | N/A | N/A | N/A | N/A | N/A  | 5.0
Yöneylem      | Self           | 2021-07-26      | 2021-07-30    | N     | 3040        | N/A           | 0.1       | 34.6 | 28.4 | 9.2  | 6.9  | 14.3 | 0.8 | 0.4 | 1.4  | 0.4 | N/A | 0.7 | N/A | N/A  | 2.7
Aksoy         | N/A            | 2021-07-24      | 2021-07-29    | N     | 1067        | N/A           | 0.1       | 32.2 | 27.7 | 10.0 | 8.1  | 13.9 | 1.3 | 1.2 | 2.8  | N/A | N/A | N/A | N/A | N/A  | 2.8
AKAM          | Self           | 2021-07-24      | 2021-07-29    | N     | 2460        | N/A           | 0.1       | 29.4 | 25.9 | 11.0 | 7.4  | 14.4 | 1.3 | 2.3 | 4.6  | 1.1 | N/A | 1.0 | N/A | N/A  | 2.7
ORC           | N/A            | 2021-07-13      | 2021-07-18    | N     | 4520        | N/A           | 0.1       | 33.4 | 25.0 | 8.0  | 9.8  | 12.5 | 1.3 | 2.9 | 2.2  | 1.5 | 0.8 | N/A | N/A | N/A  | 2.6
İEA           | Self           | 2021-07-08      | 2021-07-12    | N     | 1503        | N/A           | 0.1       | 35.5 | 23.2 | 11.4 | 7.5  | 16.8 | 0.9 | 1.0 | 2.3  | N/A | N/A | N/A | N/A | N/A  | 1.4
AREA          | N/A            | 2021-07-01      | 2021-07-18    | N     | N/A         | N/A           | 0.1       | 35.2 | 23.7 | 10.1 | 10.0 | 14.4 | N/A | N/A | 3.2  | N/A | N/A | N/A | N/A | N/A  | 3.4
Yöneylem      | Self           | 2021-06-25      | 2021-06-29    | N     | 3848        | N/A           | 0.1       | 35.4 | 26.1 | 9.9  | 8.9  | 13.2 | 1.0 | 0.5 | 1.4  | 0.7 | N/A | N/A | N/A | N/A  | 2.9
AKAM          | Self           | 2021-06-23      | 2021-06-28    | N     | 2460        | N/A           | 0.1       | 29.4 | 26.9 | 11.1 | 7.1  | 15.0 | 1.4 | 2.0 | 4.5  | 0.8 | 0.1 | N/A | N/A | N/A  | 1.7
Artıbir       | N/A            | 2021-06-21      | 2021-06-29    | N     | 1500        | N/A           | 0.1       | 31.4 | 27.5 | 12.7 | 7.4  | 14.1 | 1.0 | 1.8 | 3.0  | 0.2 | N/A | 0.2 | N/A | N/A  | 0.5
S. Politik    | N/A            | 2021-06-21      | 2021-06-28    | N     | 1008        | N/A           | 0.1       | 32.1 | 29.6 | 12.7 | 7.1  | 13.8 | 0.2 | 1.3 | 3.2  | N/A | N/A | N/A | N/A | N/A  | N/A
MetroPOLL     | N/A            | 2021-06-19      | 2021-06-23    | N     | 1740        | N/A           | 0.1       | 37.1 | 24.1 | 12.3 | 9.2  | 12.9 | 1.5 | N/A | 1.1  | N/A | N/A | N/A | N/A | N/A  | 1.8
Aksoy         | N/A            | 2021-06-14      | 2021-06-20    | N     | 1067        | N/A           | 0.1       | 31.6 | 27.5 | 9.6  | 8.2  | 13.6 | 1.0 | 2.0 | 2.9  | N/A | N/A | N/A | N/A | N/A  | 3.7
ORC           | N/A            | 2021-06-08      | 2021-06-14    | N     | 4520        | N/A           | 0.1       | 33.9 | 25.3 | 8.1  | 10.4 | 12.0 | 1.4 | 1.6 | 2.1  | 1.6 | 0.7 | N/A | N/A | N/A  | 2.9
Remres        | N/A            | 2021-06-08      | 2021-06-14    | N     | 2853        | N/A           | 0.1       | 34.0 | 22.9 | 9.6  | 9.9  | 13.8 | 1.9 | 1.7 | 2.7  | 2.5 | N/A | N/A | N/A | N/A  | 1.0
AKAM          | Self           | 2021-06-08      | 2021-06-13    | N     | 2460        | N/A           | 0.1       | 29.5 | 26.9 | 11.0 | 8.3  | 14.7 | 1.2 | 1.5 | 4.1  | 0.9 | 0.2 | 0.6 | N/A | N/A  | 1.0
İEA           | Self           | 2021-06-06      | 2021-06-09    | N     | 1500        | N/A           | 0.1       | 34.4 | 22.3 | 12.7 | 9.5  | 16.2 | 0.8 | 0.9 | 2.2  | N/A | N/A | N/A | N/A | N/A  | 1.0
AREA          | N/A            | 2021-06-02      | 2021-06-07    | N     | 2402        | N/A           | 0.1       | 35.1 | 23.1 | 10.1 | 10.1 | 14.1 | 1.0 | 1.0 | 2.5  | 1.7 | N/A | N/A | N/A | N/A  | 1.3
TEAM          | N/A            | 2021-06-01      | 2021-06-30    | N     | N/A         | N/A           | 0.1       | 37.6 | 27.4 | 12.2 | 8.1  | 11.4 | N/A | 0.8 | 1.5  | N/A | N/A | N/A | N/A | N/A  | 1.1
MetroPOLL     | N/A            | 2021-06-01      | 2021-06-30    | N     | N/A         | N/A           | 0.1       | 38.4 | 24.3 | 10.6 | 6.8  | 13.5 | 2.0 | 0.9 | 1.6  | N/A | N/A | N/A | N/A | N/A  | 1.9
Aksoy         | N/A            | 2021-05-24      | 2021-05-30    | N     | 1067        | N/A           | 0.1       | 32.3 | 26.3 | 9.9  | 9.1  | 13.0 | 1.7 | 1.3 | 2.5  | N/A | N/A | N/A | N/A | N/A  | 3.9
PİAR          | N/A            | 2021-05-24      | 2021-05-29    | N     | 2411        | N/A           | 0.1       | 34.8 | 22.7 | 10.7 | 10.2 | 14.8 | 1.2 | 1.2 | 2.2  | 1.5 | N/A | N/A | N/A | N/A  | 0.7
AKAM          | Self           | 2021-05-23      | 2021-05-28    | N     | 2480        | N/A           | 0.1       | 31.5 | 26.2 | 11.9 | 7.9  | 13.1 | 1.3 | 2.1 | 2.5  | 1.6 | N/A | N/A | N/A | N/A  | 1.9
Yöneylem      | Self           | 2021-05-21      | 2021-05-25    | N     | 3140        | N/A           | 0.1       | 36.0 | 26.7 | 10.2 | 7.8  | 13.5 | 0.6 | 0.5 | 1.4  | N/A | N/A | N/A | N/A | N/A  | 3.2
MAK           | N/A            | 2021-05-01      | 2021-05-31    | N     | 2850        | N/A           | 0.1       | 34.3 | 23.0 | 9.2  | 8.4  | 13.6 | 1.8 | 2.8 | 2.2  | N/A | 0.6 | N/A | N/A | N/A  | 4.1
İEA           | Self           | 2021-05-01      | 2021-05-12    | N     | ~1500       | N/A           | 0.1       | 33.9 | 22.5 | 11.9 | 8.6  | 15.8 | 0.9 | 1.1 | 3.0  | N/A | N/A | N/A | N/A | N/A  | 2.2
Aksoy         | N/A            | 2021-04-26      | 2021-05-02    | N     | 1067        | N/A           | 0.1       | 32.7 | 26.1 | 10.1 | 10.2 | 12.6 | 1.3 | 1.9 | 2.4  | N/A | N/A | N/A | N/A | N/A  | 2.7
AREA          | N/A            | 2021-04-24      | 2021-04-28    | N     | 2234        | N/A           | 0.1       | 34.4 | 25.3 | 10.3 | 8.8  | 14.6 | 1.0 | 1.0 | 3.1  | N/A | N/A | N/A | N/A | N/A  | 1.5
AKAM          | Self           | 2021-04-11      | 2021-04-14    | N     | 1460        | N/A           | 0.1       | 32.0 | 26.8 | 11.3 | 7.5  | 13.6 | 1.3 | 3.0 | 3.0  | N/A | N/A | N/A | N/A | N/A  | 1.5
AKAM          | Self           | 2021-04-11      | 2021-04-14    | N     | 1460        | N/A           | 0.1       | 32.5 | 27.3 | 10.1 | 7.6  | 13.1 | 1.8 | 3.0 | 3.0  | N/A | N/A | N/A | N/A | N/A  | 1.6
Yöneylem      | Self           | 2021-04-01      | 2021-04-30    | N     | 3605        | N/A           | 0.1       | 37.7 | 24.8 | 10.4 | 7.8  | 12.9 | 1.1 | 0.6 | 1.5  | N/A | N/A | N/A | N/A | N/A  | 3.5
MetroPOLL     | N/A            | 2021-04-01      | 2021-04-30    | N     | N/A         | N/A           | 0.1       | 34.1 | 23.0 | 10.6 | 11.0 | 13.5 | 2.0 | 1.8 | 2.8  | N/A | N/A | N/A | N/A | N/A  | 1.3
Objektif      | N/A            | 2021-04-01      | 2021-04-22    | N     | ~20000      | N/A           | 0.1       | 33.7 | 26.0 | 10.7 | 7.2  | 13.6 | 1.3 | 3.0 | 2.9  | N/A | N/A | N/A | N/A | N/A  | 1.6
İEA           | Self           | 2021-04-01      | 2021-04-13    | N     | ~1500       | N/A           | 0.1       | 36.1 | 23.3 | 11.3 | 8.6  | 15.3 | 0.7 | 1.1 | 2.7  | N/A | N/A | N/A | N/A | N/A  | 0.9
AREA          | N/A            | 2021-03-27      | 2021-03-29    | N     | 2228        | N/A           | 0.1       | 35.1 | 24.0 | 12.0 | 9.4  | 14.0 | 1.9 | 1.2 | 1.6  | N/A | N/A | N/A | N/A | N/A  | 0.7
AKAM          | Self           | 2021-03-26      | 2021-03-31    | N     | 2460        | N/A           | 0.1       | 33.2 | 26.8 | 9.7  | 6.9  | 13.8 | 1.3 | 3.1 | 2.9  | N/A | N/A | N/A | N/A | N/A  | 2.3
MetroPOLL     | N/A            | 2021-03-22      | 2021-03-25    | N     | 1637        | N/A           | 0.1       | 38.2 | 23.3 | 11.1 | 9.5  | 12.1 | 1.2 | N/A | 1.6  | N/A | N/A | N/A | N/A | N/A  | 3.0
AKAM          | Self           | 2021-03-07      | 2021-03-12    | N     | 1480        | N/A           | 0.1       | 34.4 | 26.2 | 9.6  | 7.2  | 13.9 | 0.8 | 2.8 | 2.7  | 1.5 | 0.2 | 0.3 | N/A | N/A  | 1.9
Yöneylem      | Self           | 2021-03-01      | 2021-03-31    | N     | 4300        | N/A           | 0.1       | 38.7 | 23.2 | 10.7 | 8.7  | 12.7 | 0.8 | 0.6 | 1.9  | N/A | N/A | N/A | N/A | N/A  | 2.9
Saros         | N/A            | 2021-03-01      | 2021-03-31    | N     | 3042        | N/A           | 0.1       | 37.2 | 20.6 | 12.9 | 10.3 | 9.4  | 1.2 | 2.5 | 3.6  | 1.5 | N/A | N/A | N/A | N/A  | 0.8
Optimar       | N/A            | 2021-03-01      | 2021-03-24    | N     | N/A         | N/A           | 0.1       | 38.4 | 24.4 | 11.5 | 10.5 | 10.3 | 0.7 | 0.3 | 1.3  | N/A | 0.3 | N/A | N/A | N/A  | 2.3
İEA           | Self           | 2021-03-01      | 2021-03-11    | N     | ~1500       | N/A           | 0.1       | 35.4 | 22.0 | 11.3 | 8.3  | 16.5 | 1.2 | 1.2 | 2.9  | N/A | N/A | N/A | N/A | N/A  | 1.4
AKAM          | Self           | 2021-02-18      | 2021-02-25    | N     | 2184        | N/A           | 0.1       | 34.8 | 26.2 | 9.1  | 7.0  | 13.1 | 0.7 | 2.7 | 2.5  | 1.5 | 0.4 | N/A | N/A | N/A  | 3.5
AREA          | N/A            | 2021-02-18      | 2021-02-24    | N     | 2000        | N/A           | 0.1       | 36.1 | 24.1 | 10.1 | 10.0 | 14.0 | 1.3 | 1.4 | 1.6  | N/A | N/A | N/A | N/A | N/A  | 1.4
ORC           | N/A            | 2021-02-17      | 2021-02-19    | N     | 3165        | N/A           | 0.1       | 36.8 | 22.3 | 8.2  | 11.6 | 10.8 | 1.3 | 2.6 | 2.1  | N/A | N/A | N/A | N/A | N/A  | 4.3
AKAM          | Self           | 2021-02-02      | 2021-02-10    | N     | 1160        | N/A           | 0.1       | 34.1 | 27.3 | 10.1 | 7.5  | 14.0 | 1.4 | 2.7 | 2.4  | N/A | N/A | N/A | N/A | N/A  | 0.5
Areda Survey  | N/A            | 2021-02-02      | 2021-02-04    | N     | 2486        | N/A           | 0.1       | 41.7 | 21.8 | 9.3  | 11.6 | 10.3 | 0.8 | 0.4 | 1.8  | N/A | N/A | N/A | N/A | N/A  | 2.4
Yöneylem      | Self           | 2021-02-01      | 2021-02-28    | N     | 4060        | N/A           | 0.1       | 40.2 | 25.1 | 9.7  | 9.0  | 10.5 | 1.1 | 0.4 | 1.6  | N/A | N/A | N/A | N/A | N/A  | 2.3
MetroPOLL     | N/A            | 2021-02-01      | 2021-02-28    | N     | N/A         | N/A           | 0.1       | 39.3 | 22.1 | 11.3 | 9.1  | 12.1 | 1.1 | N/A | 1.9  | 1.1 | N/A | N/A | N/A | N/A  | 1.5
Aksoy         | N/A            | 2021-02-01      | 2021-02-28    | N     | 2400        | N/A           | 0.1       | 36.0 | 26.3 | 8.7  | 9.9  | 13.5 | 1.1 | 1.9 | 2.1  | N/A | N/A | N/A | N/A | N/A  | 0.5
İEA           | Self           | 2021-02-01      | 2021-02-12    | N     | ~1500       | N/A           | 0.1       | 35.2 | 21.1 | 10.6 | 9.6  | 15.6 | 1.0 | 1.7 | 3.8  | N/A | N/A | N/A | N/A | N/A  | 1.4
Optimar       | N/A            | 2021-02-01      | 2021-02-07    | N     | N/A         | N/A           | 0.1       | 40.5 | 22.6 | 10.6 | 10.8 | 10.0 | 1.0 | 0.5 | 1.6  | N/A | N/A | N/A | N/A | N/A  | 2.4
AKAM          | Self           | 2021-01-21      | 2021-01-27    | N     | 2184        | N/A           | 0.1       | 35.6 | 25.3 | 10.5 | 8.1  | 13.4 | 0.8 | 3.0 | 2.9  | N/A | N/A | N/A | N/A | N/A  | 0.4
MAK           | N/A            | 2021-01-14      | 2021-01-26    | N     | 2850        | N/A           | 0.1       | 35.6 | 24.9 | 8.9  | 8.5  | 13.6 | 1.6 | 2.5 | 2.3  | N/A | N/A | N/A | N/A | N/A  | 2.1
SONAR         | N/A            | 2021-01-10      | 2021-02-04    | N     | 3200        | N/A           | 0.1       | 39.3 | 22.6 | 10.2 | 10.5 | 13.1 | 1.2 | N/A | N/A  | N/A | N/A | N/A | N/A | N/A  | 3.1
AKAM          | Self           | 2021-01-06      | 2021-01-10    | N     | 1460        | N/A           | 0.1       | 35.0 | 25.0 | 10.7 | 9.5  | 13.0 | 0.8 | 2.6 | 2.5  | N/A | N/A | N/A | N/A | N/A  | 0.8
Artıbir       | N/A            | 2021-01-04      | 2021-01-09    | N     | 1500        | N/A           | 0.1       | 34.5 | 26.2 | 11.6 | 8.4  | 11.5 | 1.1 | 2.6 | 4.1  | N/A | N/A | N/A | N/A | N/A  | N/A
Saros         | N/A            | 2021-01-01      | 2021-01-31    | N     | N/A         | N/A           | 0.1       | 37.6 | 20.9 | 12.7 | 10.6 | 9.9  | 1.2 | 1.6 | 1.9  | 2.0 | 0.2 | N/A | N/A | N/A  | 1.3
Yöneylem      | Self           | 2021-01-01      | 2021-01-31    | N     | N/A         | N/A           | 0.1       | 38.3 | 26.0 | 10.3 | 10.1 | 11.2 | 0.8 | 0.4 | 1.4  | N/A | N/A | N/A | N/A | N/A  | 1.5
Aksoy         | N/A            | 2021-01-01      | 2021-01-31    | N     | 2400        | N/A           | 0.1       | 35.2 | 26.5 | 9.9  | 9.0  | 12.9 | 1.5 | 1.0 | 2.5  | N/A | N/A | N/A | N/A | N/A  | 1.4
MetroPOLL     | N/A            | 2021-01-01      | 2021-01-31    | N     | N/A         | N/A           | 0.1       | 37.2 | 26.0 | 9.8  | 8.5  | 12.3 | 2.2 | 1.1 | 1.4  | N/A | N/A | N/A | N/A | N/A  | 1.5
ADA           | N/A            | 2021-01-01      | 2021-01-29    | N     | N/A         | N/A           | 0.1       | 38.7 | 19.8 | 9.5  | 9.6  | 11.5 | 1.2 | 1.8 | 2.5  | 2.7 | N/A | N/A | N/A | N/A  | 2.7
Optimar       | N/A            | 2021-01-01      | 2021-01-28    | N     | 2089        | N/A           | 0.1       | 40.5 | 22.6 | 10.6 | 10.8 | 10.0 | 1.0 | 0.5 | 1.6  | N/A | 0.3 | N/A | N/A | N/A  | 2.1
İEA           | Self           | 2021-01-01      | 2021-01-18    | N     | ~1500       | N/A           | 0.1       | 36.2 | 20.3 | 10.5 | 9.1  | 16.7 | 0.6 | 1.3 | 3.6  | N/A | N/A | N/A | N/A | N/A  | 1.7
AKAM          | Self           | 2020-12-19      | 2020-12-23    | N     | 2460        | N/A           | 0.1       | 33.3 | 26.6 | 10.5 | 10.0 | 13.5 | 0.6 | 2.8 | 2.5  | N/A | N/A | N/A | N/A | N/A  | 0.2
AREA          | N/A            | 2020-12-14      | 2020-12-18    | N     | 2564        | N/A           | 0.1       | 39.3 | 22.4 | 10.4 | 10.5 | 11.1 | 1.0 | 0.7 | 3.1  | N/A | N/A | N/A | N/A | N/A  | 1.5
MAK           | N/A            | 2020-12-14      | 2020-12-18    | N     | 2850        | N/A           | 0.1       | 37.0 | 24.8 | 9.2  | 8.8  | 12.5 | 1.5 | 2.5 | 2.2  | N/A | N/A | N/A | N/A | N/A  | 1.5
Gezici        | N/A            | 2020-12-05      | 2020-12-05    | N     | 1896        | N/A           | 0.1       | 36.6 | 26.2 | 10.2 | 8.8  | 9.6  | N/A | N/A | 6.6  | N/A | N/A | N/A | N/A | N/A  | 2.0
Optimar       | N/A            | 2020-12-03      | 2020-12-09    | N     | 2253        | N/A           | 0.1       | 41.2 | 23.7 | 8.4  | 11.1 | 10.9 | 0.9 | N/A | N/A  | N/A | N/A | N/A | N/A | N/A  | 3.8
KONDA         | N/A            | 2020-12-01      | 2020-12-31    | N     | N/A         | N/A           | 0.1       | 39.8 | 22.2 | 10.7 | 9.8  | 10.5 | N/A | N/A | N/A  | N/A | N/A | N/A | N/A | N/A  | 7.0
Aksoy         | N/A            | 2020-12-01      | 2020-12-31    | N     | 2400        | N/A           | 0.1       | 34.8 | 27.2 | 8.9  | 9.0  | 13.1 | 1.6 | 1.8 | 3.1  | N/A | N/A | N/A | N/A | N/A  | 0.5
MetroPOLL     | N/A            | 2020-12-01      | 2020-12-31    | N     | N/A         | N/A           | 0.1       | 38.9 | 25.4 | 11.1 | 7.6  | 11.3 | 0.8 | 1.7 | 2.2  | N/A | N/A | N/A | N/A | N/A  | 1.0
İEA           | Self           | 2020-12-01      | 2020-12-31    | N     | ~1500       | N/A           | 0.1       | 39.7 | 18.7 | 11.3 | 9.0  | 14.0 | 0.7 | 1.1 | 4.2  | N/A | N/A | N/A | N/A | N/A  | 1.3
Objektif      | N/A            | 2020-11-27      | 2020-12-07    | N     | 16000       | N/A           | 0.1       | 34.0 | 26.7 | 10.5 | 11.2 | 11.0 | 1.2 | 2.7 | 2.1  | N/A | N/A | N/A | N/A | N/A  | 0.6
ORC           | N/A            | 2020-11-26      | 2020-12-01    | N     | 3820        | N/A           | 0.1       | 36.1 | 25.4 | 9.3  | 12.7 | 10.4 | 1.1 | 2.5 | 1.9  | N/A | N/A | N/A | N/A | N/A  | 0.6
AREA          | N/A            | 2020-11-23      | 2020-11-27    | N     | 2230        | N/A           | 0.1       | 36.2 | 23.7 | 10.4 | 9.0  | 13.7 | 1.5 | 1.7 | 3.5  | N/A | N/A | N/A | N/A | N/A  | 0.3
AKAM          | Self           | 2020-11-21      | 2020-11-26    | N     | 2460        | N/A           | 0.1       | 33.2 | 26.4 | 11.5 | 8.6  | 13.4 | 0.9 | 2.8 | 2.8  | N/A | N/A | N/A | N/A | N/A  | 0.4
MAK           | N/A            | 2020-11-14      | 2020-11-24    | N     | 5700        | N/A           | 0.1       | 38.7 | 24.0 | 9.2  | 9.1  | 11.6 | 1.4 | 2.3 | 2.3  | N/A | N/A | N/A | N/A | N/A  | 1.4
Kadir H.Uni.  | N/A            | 2019-11-11      | 2019-12-04    | N     | 1000        | N/A           | 0.1       | 38.3 | 27.0 | 10.8 | 10.0 | 11.8 | 0.9 | 0.3 | 0.5  | N/A | N/A | N/A | N/A | N/A  | 0.4
Artıbir       | N/A            | 2020-11-02      | 2020-11-12    | N     | 1500        | N/A           | 0.1       | 36.0 | 26.5 | 11.7 | 9.4  | 11.2 | 1.2 | 1.4 | 2.5  | N/A | N/A | N/A | N/A | N/A  | 1.3
TEAM          | N/A            | 2020-11-01      | 2020-11-30    | N     | N/A         | N/A           | 0.1       | 37.2 | 25.1 | 10.9 | 10.3 | 10.5 | N/A | 1.2 | 2.7  | N/A | N/A | N/A | N/A | N/A  | 2.1
Saros         | N/A            | 2020-11-01      | 2020-11-30    | N     | N/A         | N/A           | 0.1       | 39.4 | 21.8 | 13.3 | 10.8 | 10.0 | N/A | 0.8 | 2.2  | 1.1 | N/A | N/A | N/A | N/A  | 0.6
MetroPOLL     | N/A            | 2020-11-01      | 2020-11-30    | N     | N/A         | N/A           | 0.1       | 41.3 | 22.4 | 10.4 | 9.2  | 11.2 | 1.5 | 0.8 | 2.2  | N/A | N/A | N/A | N/A | N/A  | 1.0
GENAR         | N/A            | 2020-11-01      | 2020-11-26    | N     | 3000        | N/A           | 0.1       | 42.1 | 22.8 | 9.7  | 10.3 | 10.1 | 1.7 | 0.6 | 1.0  | N/A | N/A | N/A | N/A | N/A  | 1.7
Optimar       | N/A            | 2020-11-01      | 2020-11-23    | N     | 2047        | N/A           | 0.1       | 41.9 | 24.0 | 10.5 | 10.1 | 8.7  | 1.1 | 1.0 | 1.2  | N/A | 0.2 | N/A | N/A | N/A  | 1.3
İEA           | Self           | 2020-11-01      | 2020-11-18    | N     | 1500        | N/A           | 0.1       | 37.5 | 20.1 | 11.3 | 9.3  | 16.2 | 0.6 | 1.1 | 2.9  | N/A | N/A | N/A | N/A | N/A  | 1.0
Areda Survey  | N/A            | 2020-10-30      | 2020-11-03    | N     | 3055        | N/A           | 0.1       | 42.3 | 23.3 | 9.2  | 11.5 | 9.5  | 1.0 | 0.3 | 0.9  | N/A | N/A | N/A | N/A | N/A  | 2.0
AREA          | N/A            | 2020-10-24      | 2020-10-27    | N     | 2238        | N/A           | 0.1       | 37.7 | 23.8 | 11.6 | 11.0 | 12.1 | 0.9 | 0.7 | 1.5  | N/A | N/A | N/A | N/A | N/A  | 0.7
AKAM          | Self           | 2020-10-19      | 2020-10-24    | N     | 2460        | N/A           | 0.1       | 32.6 | 28.2 | 11.6 | 8.9  | 12.7 | 0.3 | 2.0 | 3.2  | N/A | N/A | N/A | N/A | N/A  | 0.5
MAK           | N/A            | 2020-10-15      | 2020-10-25    | N     | 2500        | N/A           | 0.1       | 38.0 | 24.6 | 10.5 | 8.7  | 11.6 | 1.4 | 2.4 | 2.3  | N/A | N/A | N/A | N/A | N/A  | 0.5
Areda Survey  | N/A            | 2020-10-02      | 2020-10-06    | N     | 3000        | N/A           | 0.1       | 42.1 | 23.6 | 9.2  | 10.7 | 9.7  | 0.7 | 0.2 | 1.8  | N/A | N/A | N/A | N/A | N/A  | 2.0
Aksoy         | N/A            | 2020-10-01      | 2020-10-31    | N     | 2400        | N/A           | 0.1       | 36.0 | 24.9 | 9.5  | 13.6 | 9.1  | 0.8 | 1.5 | 3.4  | N/A | N/A | N/A | N/A | N/A  | 1.2
Optimar       | N/A            | 2020-10-01      | 2020-10-19    | N     | 2047        | N/A           | 0.1       | 41.4 | 23.8 | 10.5 | 9.5  | 9.3  | N/A | 1.0 | 1.5  | N/A | 0.4 | N/A | N/A | N/A  | 2.6
MetroPOLL     | N/A            | 2020-10-01      | 2020-10-10    | N     | N/A         | N/A           | 0.1       | 38.2 | 23.1 | 11.4 | 10.6 | 11.5 | 1.3 | 1.2 | 2.0  | N/A | N/A | N/A | N/A | N/A  | 0.7
İEA           | Self           | 2020-10-01      | 2020-10-10    | N     | 1500        | N/A           | 0.1       | 40.2 | 20.0 | 11.4 | 8.9  | 15.7 | N/A | 1.0 | 2.1  | N/A | N/A | N/A | N/A | N/A  | 0.7
AREA          | N/A            | 2020-09-27      | 2020-09-30    | N     | 3088        | N/A           | 0.1       | 40.0 | 22.7 | 10.4 | 10.2 | 12.4 | 1.1 | 1.1 | 1.3  | N/A | N/A | N/A | N/A | N/A  | 0.8
Yöneylem      | Self           | 2020-09-23      | 2020-09-27    | N     | 2402        | N/A           | 0.1       | 34.5 | 27.8 | 11.8 | 8.6  | 11.0 | 1.2 | 1.3 | 3.0  | N/A | N/A | N/A | N/A | N/A  | 0.8
AKAM          | Self           | 2020-09-21      | 2020-09-25    | N     | 2460        | N/A           | 0.1       | 37.3 | 27.2 | 10.7 | 8.5  | 11.7 | 0.5 | 2.0 | 1.8  | N/A | N/A | N/A | N/A | N/A  | 0.3
MAK           | N/A            | 2020-09-15      | 2020-09-25    | N     | 2850        | N/A           | 0.1       | 38.6 | 24.1 | 8.7  | 8.6  | 12.0 | 1.3 | 2.3 | 2.2  | N/A | N/A | N/A | N/A | N/A  | 2.2
KONDA         | N/A            | 2020-09-01      | 2020-09-30    | N     | N/A         | N/A           | 0.1       | 36.7 | 21.6 | 11.5 | 10.6 | 14.8 | N/A | N/A | N/A  | N/A | N/A | N/A | N/A | N/A  | 4.8
MetroPOLL     | N/A            | 2020-09-01      | 2020-09-30    | N     | N/A         | N/A           | 0.1       | 41.6 | 22.8 | 10.4 | 9.4  | 11.3 | 1.5 | 0.9 | 1.3  | N/A | N/A | N/A | N/A | N/A  | 0.8
İEA           | Self           | 2020-09-01      | 2020-09-30    | N     | 1537        | N/A           | 0.1       | 43.3 | 22.3 | 10.4 | 7.6  | 10.7 | 1.2 | 1.2 | 2.4  | N/A | N/A | N/A | N/A | N/A  | 0.9
Saros         | N/A            | 2020-09-01      | 2020-09-25    | N     | N/A         | N/A           | 0.1       | 39.2 | 23.8 | 11.9 | 9.6  | 9.1  | N/A | 2.1 | 3.0  | N/A | N/A | N/A | N/A | N/A  | 1.3
AKAM          | Self           | 2020-08-22      | 2020-08-27    | N     | 2460        | N/A           | 0.1       | 36.9 | 28.1 | 10.6 | 7.1  | 11.4 | 0.4 | 2.6 | 2.7  | N/A | N/A | N/A | N/A | N/A  | 0.2
