Polling firm             | Commissioners     | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | PP   | PSOE | UP   | Cs   | ERC | PDeCAT | PNV | PACMA | EH Bildu | CC  | Vox  | Cmp | BNG | CEUS | AR  | CpE | Other
electoPanel              | electomania.es    | 2020-06-22      | 2020-06-26    | NE    | 3220        | N/A           | 0.1       | 24.2 | 26.3 | 11.7 | 8.0  | 3.5 | 2.6    | 1.3 | N/A   | 1.2      | 0.5 | 14.2 | 2.0 | 0.5 | N/A  | N/A | N/A | N/A
Demoscopia y Servicios   | ESdiario          | 2020-06-17      | 2020-06-19    | NE    | 1000        | N/A           | 0.1       | 24.2 | 25.0 | 13.7 | 6.2  | 3.1 | 2.8    | 1.5 | N/A   | 1.4      | 0.4 | 15.1 | 1.5 | 0.6 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-06-13      | 2020-06-19    | NE    | 3530        | N/A           | 0.1       | 24.6 | 25.5 | 11.8 | 8.2  | 3.6 | 2.6    | 1.3 | N/A   | 1.2      | 0.5 | 14.2 | 1.9 | 0.5 | N/A  | N/A | N/A | N/A
Sigma Dos                | El Mundo          | 2020-06-15      | 2020-06-17    | NE    | 1000        | N/A           | 0.1       | 26.0 | 28.7 | 12.0 | 8.3  | 3.1 | 2.0    | 1.9 | N/A   | N/A      | N/A | 11.7 | 1.2 | N/A | N/A  | N/A | N/A | N/A
NC Report                | La Razón          | 2020-06-09      | 2020-06-13    | NE    | 1000        | 61.7          | 0.1       | 25.1 | 26.0 | 12.1 | 5.6  | 3.7 | 2.4    | 1.6 | N/A   | 1.3      | 0.5 | 14.8 | 1.9 | 0.5 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-06-06      | 2020-06-12    | NE    | 2000        | N/A           | 0.1       | 24.7 | 25.9 | 11.7 | 7.9  | 3.6 | 2.6    | 1.3 | N/A   | 1.2      | 0.5 | 14.1 | 2.0 | 0.5 | N/A  | N/A | N/A | N/A
Simple Lógica            | N/A               | 2020-06-01      | 2020-06-05    | NE    | 1012        | 62.7          | 0.1       | 21.7 | 29.9 | 12.0 | 7.6  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 15.1 | N/A | N/A | N/A  | N/A | N/A | N/A
Celeste-Tel              | eldiario.es       | 2020-06-01      | 2020-06-05    | NE    | 1100        | 61.9          | 0.1       | 23.1 | 27.0 | 12.3 | 6.7  | 3.8 | 2.4    | 1.6 | N/A   | 1.2      | 0.5 | 15.2 | 1.8 | 0.5 | N/A  | N/A | N/A | N/A
GAD3                     | ABC               | 2020-05-18      | 2020-06-05    | NE    | 3104        | N/A           | 0.1       | 25.4 | 28.3 | 10.5 | 7.6  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 11.2 | 1.6 | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-06-02      | 2020-06-03    | NE    | 1400        | N/A           | 0.1       | 25.1 | 25.6 | 11.7 | 7.8  | 3.6 | 2.6    | 1.3 | N/A   | 1.2      | 0.5 | 14.0 | 1.9 | 0.5 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-05-29      | 2020-05-31    | NE    | 2200        | N/A           | 0.1       | 25.6 | 26.2 | 11.5 | 7.2  | 3.6 | 2.7    | 1.2 | N/A   | 1.2      | 0.5 | 13.8 | 1.8 | 0.5 | N/A  | N/A | N/A | N/A
SocioMétrica             | El Español        | 2020-05-27      | 2020-05-29    | NE    | 1872        | N/A           | 0.1       | 24.4 | 26.9 | 10.9 | 7.9  | 3.6 | 2.3    | 1.6 | N/A   | 1.0      | 0.6 | 14.6 | 1.4 | N/A | N/A  | N/A | N/A | N/A
Invymark                 | laSexta           | 2020-05-25      | 2020-05-29    | NE    | (1000)      | N/A           | 0.1       | 20.0 | 26.9 | 13.2 | 8.6  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 15.5 | N/A | N/A | N/A  | N/A | N/A | N/A
DYM                      | Henneo            | 2020-05-21      | 2020-05-24    | NE    | 1041        | N/A           | 0.1       | 22.0 | 25.1 | 11.3 | 9.0  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 15.8 | N/A | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-05-18      | 2020-05-23    | NE    | 4500        | N/A           | 0.1       | 25.4 | 26.4 | 11.5 | 7.2  | 3.4 | 2.7    | 1.4 | N/A   | 1.1      | 0.5 | 13.9 | 1.9 | 0.5 | N/A  | N/A | N/A | N/A
Key Data                 | Público           | 2020-05-17      | 2020-05-17    | NE    | (500)       | 65.3          | 0.1       | 23.3 | 27.8 | 12.1 | 6.8  | 3.5 | 2.2    | 1.6 | N/A   | 1.1      | 0.5 | 14.1 | 1.6 | N/A | N/A  | N/A | N/A | N/A
Sigma Dos                | Antena 3          | 2020-05-17      | 2020-05-17    | NE    | (1000)      | N/A           | 0.1       | 26.4 | 29.7 | 11.4 | 6.0  | 3.6 | 1.9    | 1.9 | N/A   | N/A      | N/A | 11.8 | 1.0 | N/A | N/A  | N/A | N/A | N/A
NC Report                | La Razón          | 2020-05-12      | 2020-05-16    | NE    | 1000        | 62.1          | 0.1       | 24.9 | 26.0 | 12.5 | 5.2  | 3.6 | 2.6    | 1.7 | N/A   | 1.2      | N/A | 14.6 | N/A | N/A | N/A  | N/A | N/A | N/A
Hamalgama Métrica        | OKDiario          | 2020-05-12      | 2020-05-15    | NE    | 1000        | N/A           | 0.1       | 25.4 | 26.1 | 11.6 | 4.0  | 3.7 | 2.4    | 1.6 | N/A   | 1.2      | N/A | 15.3 | 1.5 | N/A | N/A  | N/A | N/A | N/A
GESOP                    | El Periódico      | 2020-05-11      | 2020-05-15    | NE    | 750         | N/A           | 0.1       | 22.8 | 27.5 | 11.3 | 6.5  | 3.4 | 2.1    | 1.8 | N/A   | 1.2      | N/A | 14.0 | N/A | N/A | N/A  | N/A | N/A | N/A
SW Demoscopia            | Grupo Viva        | 2020-05-08      | 2020-05-15    | NE    | 2000        | N/A           | 0.1       | 21.2 | 28.1 | 11.8 | 8.9  | 3.7 | N/A    | N/A | N/A   | N/A      | N/A | 15.8 | N/A | N/A | N/A  | N/A | N/A | N/A
GIPEyOP                  | N/A               | 2020-04-28      | 2020-05-14    | NE    | 8387        | 64.9          | 0.1       | 21.2 | 27.3 | 13.0 | 5.6  | 3.8 | 1.8    | 1.5 | N/A   | 1.5      | 0.7 | 15.8 | 2.3 | 0.9 | N/A  | N/A | N/A | N/A
Celeste-Tel              | eldiario.es       | 2020-05-04      | 2020-05-08    | NE    | 1100        | 62.3          | 0.1       | 22.2 | 27.4 | 12.9 | 6.5  | 3.7 | 2.5    | 1.6 | N/A   | 1.2      | 0.4 | 15.6 | 1.6 | 0.5 | N/A  | N/A | N/A | N/A
Metroscopia              | N/A               | 2020-05-13      | 2020-05-13    | NE    | (1095)      | N/A           | 1         | 24.0 | 28.0 | 11.0 | 7.0  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 13.0 | N/A | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-05-11      | 2020-05-13    | NE    | 1738        | N/A           | 0.1       | 25.3 | 26.1 | 11.4 | 7.4  | 3.3 | 2.7    | 1.3 | N/A   | 1.2      | 0.5 | 14.1 | 1.8 | 0.6 | N/A  | N/A | N/A | N/A
Demoscopia y Servicios   | ESdiario          | 2020-05-07      | 2020-05-09    | NE    | 1200        | N/A           | 0.1       | 23.9 | 25.1 | 13.6 | 6.4  | 3.2 | 2.7    | 1.5 | N/A   | 1.3      | 0.4 | 15.2 | 1.4 | 0.5 | N/A  | N/A | N/A | N/A
Simple Lógica            | N/A               | 2020-05-04      | 2020-05-08    | NE    | 1019        | 63.8          | 0.1       | 21.7 | 30.8 | 12.2 | 9.8  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 11.8 | N/A | N/A | N/A  | N/A | N/A | N/A
GAD3                     | ABC               | 2020-05-04      | 2020-05-08    | NE    | 1004        | N/A           | 0.1       | 27.1 | 28.7 | 10.9 | 5.9  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 11.7 | 1.4 | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-05-02      | 2020-05-07    | NE    | 4753        | N/A           | 0.1       | 24.9 | 26.3 | 11.4 | 7.6  | 3.3 | 2.7    | 1.3 | N/A   | 1.2      | 0.5 | 14.1 | 1.8 | 0.6 | N/A  | N/A | N/A | N/A
Sináptica                | Público           | 2020-04-28      | 2020-05-04    | NE    | 1001        | N/A           | 0.1       | 22.3 | 25.1 | 13.1 | 7.5  | 3.3 | 2.6    | 1.2 | N/A   | 1.6      | N/A | 15.7 | 2.2 | N/A | N/A  | N/A | N/A | N/A
SW Demoscopia            | N/A               | 2020-05-05      | 2020-05-08    | NE    | 1104        | N/A           | 0.1       | 20.3 | 28.4 | 12.0 | 9.0  | 3.5 | 2.3    | 1.5 | N/A   | 0.9      | 0.4 | 16.2 | 1.2 | N/A | N/A  | N/A | N/A | N/A
Invymark                 | laSexta           | 2020-04-27      | 2020-05-01    | NE    | (1000)      | N/A           | 0.1       | 20.4 | 27.9 | 12.3 | 6.9  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 17.0 | N/A | N/A | N/A  | N/A | N/A | N/A
NC Report                | La Razón          | 2020-04-27      | 2020-04-30    | NE    | 1000        | 62.5          | 0.1       | 23.2 | 26.3 | 13.0 | 6.2  | 3.5 | 2.7    | 1.6 | N/A   | 1.1      | 0.5 | 15.4 | 1.7 | 0.5 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-04-26      | 2020-04-29    | NE    | 1480        | N/A           | 0.1       | 23.8 | 27.4 | 11.4 | 7.3  | 3.4 | 2.7    | 1.4 | N/A   | 1.2      | 0.5 | 14.2 | 1.8 | 0.6 | N/A  | N/A | N/A | N/A
DYM                      | Henneo            | 2020-04-23      | 2020-04-25    | NE    | 1000        | N/A           | 0.1       | 22.4 | 25.1 | 12.1 | 7.8  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 15.3 | 2.3 | N/A | N/A  | N/A | N/A | N/A
SocioMétrica             | El Español        | 2020-04-21      | 2020-04-24    | NE    | 1200        | N/A           | 0.1       | 25.4 | 28.2 | 11.0 | 7.5  | 3.2 | 2.4    | 1.5 | N/A   | 1.0      | 0.3 | 14.5 | 1.2 | 0.4 | N/A  | N/A | N/A | N/A
Metroscopia              | N/A               | 2020-04-20      | 2020-04-24    | NE    | (1095)      | N/A           | 0.1       | 25.1 | 26.7 | N/A  | N/A  | N/A | N/A    | N/A | N/A   | N/A      | N/A | N/A  | N/A | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-04-20      | 2020-04-22    | NE    | 1500        | N/A           | 0.1       | 23.7 | 28.3 | 11.6 | 7.1  | 3.6 | 2.4    | 1.3 | N/A   | 1.2      | 0.5 | 13.8 | 1.7 | 0.6 | N/A  | N/A | N/A | 0.9
Key Data                 | Público           | 2020-04-17      | 2020-04-17    | NE    | (500)       | 69.3          | 0.1       | 22.3 | 28.2 | 12.4 | 6.4  | 3.4 | 2.0    | 1.5 | N/A   | 1.0      | 0.4 | 14.5 | 1.9 | N/A | N/A  | N/A | N/A | N/A
Hamalgama Métrica        | OKDIARIO          | 2020-04-14      | 2020-04-17    | NE    | 1000        | N/A           | 0.1       | 22.7 | 26.8 | 13.4 | 5.3  | 3.6 | 2.5    | 1.5 | N/A   | 1.2      | N/A | 15.0 | 1.6 | N/A | N/A  | N/A | N/A | N/A
Sigma Dos                | El Mundo          | 2020-04-13      | 2020-04-15    | NE    | 3500        | N/A           | 0.1       | 25.4 | 31.7 | 11.5 | 5.4  | 3.6 | 1.9    | 1.8 | N/A   | N/A      | N/A | 11.9 | 1.3 | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-04-08      | 2020-04-14    | NE    | 3500        | N/A           | 0.1       | 23.6 | 28.1 | 11.5 | 7.5  | 3.6 | 2.4    | 1.3 | N/A   | 1.1      | 0.5 | 13.9 | 1.8 | 0.6 | N/A  | N/A | N/A | 0.9
electoPanel              | electomania.es    | 2020-04-02      | 2020-04-07    | NE    | 2115        | N/A           | 0.1       | 23.5 | 25.9 | 11.9 | 8.3  | 3.7 | 2.5    | 1.4 | N/A   | 1.2      | 0.6 | 14.3 | 1.9 | 0.6 | N/A  | N/A | N/A | 0.9
Simple Lógica            | N/A               | 2020-04-01      | 2020-04-07    | NE    | 1057        | N/A           | 0.1       | 22.2 | 28.2 | 11.0 | 5.7  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 16.0 | N/A | N/A | N/A  | N/A | N/A | N/A
Celeste-Tel              | eldiario.es       | 2020-04-01      | 2020-04-07    | NE    | 1100        | N/A           | 0.1       | 20.5 | 27.9 | 13.7 | 6.9  | 3.7 | 2.3    | 1.5 | 1.0   | 1.2      | 0.5 | 16.3 | 1.7 | 0.5 | N/A  | N/A | N/A | 1.0
CIS                      | N/A               | 2020-03-30      | 2020-04-07    | NE    | 3000        | N/A           | 0.1       | 21.1 | 31.2 | 12.0 | 7.6  | 3.3 | 1.4    | 1.2 | N/A   | 0.5      | 0.4 | 13.0 | 1.5 | 0.5 | N/A  | N/A | N/A | 0.6
Sigma Dos                | El Mundo          | 2020-03-25      | 2020-04-01    | NE    | 1800        | N/A           | 0.1       | 24.3 | 32.2 | 11.0 | 4.4  | 3.7 | 1.9    | 1.8 | N/A   | N/A      | N/A | 13.8 | 1.5 | N/A | N/A  | N/A | N/A | N/A
SW Demoscopia            | N/A               | 2020-03-27      | 2020-03-31    | NE    | 1302        | N/A           | 0.1       | 21.6 | 25.5 | 12.6 | 5.1  | 3.8 | 2.6    | 1.7 | N/A   | 1.2      | 0.6 | 16.9 | 2.3 | N/A | N/A  | N/A | N/A | 0.9
Key Data                 | Público           | 2020-03-30      | 2020-03-30    | NE    | (500)       | N/A           | 0.1       | 20.8 | 27.9 | 13.6 | 6.2  | 3.5 | 2.1    | 1.6 | N/A   | 1.0      | 0.5 | 16.0 | 2.0 | N/A | N/A  | N/A | N/A | 1.0
electoPanel              | electomania.es    | 2020-03-26      | 2020-03-30    | NE    | 2500        | N/A           | 0.1       | 23.2 | 25.2 | 12.0 | 8.9  | 3.8 | 2.6    | 1.3 | N/A   | 1.2      | 0.6 | 14.2 | 2.0 | 0.7 | N/A  | N/A | N/A | 0.9
DYM                      | Prensa Ibérica    | 2020-03-26      | 2020-03-27    | NE    | 1001        | N/A           | 0.5       | 23.1 | 26.8 | 11.8 | 7.2  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 14.4 | 1.9 | N/A | N/A  | N/A | N/A | N/A
SyM Consulting           | EPDA              | 2020-03-23      | 2020-03-26    | NE    | 3104        | N/A           | 0.1       | 19.9 | 26.2 | 11.8 | 5.2  | 4.0 | N/A    | N/A | N/A   | N/A      | N/A | 15.7 | 3.3 | N/A | N/A  | N/A | N/A | N/A
Demoscopia y Servicios   | ESdiario          | 2020-03-16      | 2020-03-17    | NE    | (1000)      | N/A           | 0.5       | 23.4 | 24.5 | 13.6 | 8.3  | 3.0 | 2.8    | 1.6 | N/A   | 1.2      | 0.5 | 14.5 | 1.3 | 0.5 | N/A  | N/A | N/A | 1.3
electoPanel              | electomania.es    | 2020-03-12      | 2020-03-13    | NE    | 1200        | N/A           | 0.1       | 21.7 | 25.5 | 13.4 | 7.8  | 3.8 | 2.7    | 1.4 | N/A   | 1.2      | 0.5 | 15.1 | 1.8 | 0.8 | N/A  | N/A | N/A | 1.0
CIS                      | N/A               | 2020-03-01      | 2020-03-13    | NE    | 3912        | N/A           | 0.1       | 19.6 | 31.9 | 12.9 | 7.2  | 2.4 | 1.2    | 1.5 | N/A   | 1.2      | 0.4 | 14.8 | 1.2 | 0.6 | N/A  | N/A | N/A | 0.5
Key Data                 | Público           | 2020-03-05      | 2020-03-05    | NE    | (500)       | 71.2          | 0.1       | 20.6 | 27.7 | 13.6 | 6.0  | 3.4 | 2.1    | 1.6 | N/A   | 0.9      | 0.5 | 16.0 | 1.9 | N/A | N/A  | N/A | N/A | N/A
Simple Lógica            | N/A               | 2020-03-02      | 2020-03-06    | NE    | 1029        | N/A           | 0.1       | 20.9 | 27.7 | 14.9 | 7.7  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 15.1 | N/A | N/A | N/A  | N/A | N/A | 13.7
Invymark                 | laSexta           | 2020-03-02      | 2020-03-06    | NE    | (1000)      | N/A           | 0.1       | 21.1 | 28.8 | 13.2 | 3.3  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 17.6 | N/A | N/A | N/A  | N/A | N/A | N/A
SocioMétrica             | El Español        | 2020-03-05      | 2020-03-05    | NE    | (900)       | N/A           | 0.1       | 21.0 | 27.9 | 12.3 | 5.6  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 16.4 | N/A | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-03-01      | 2020-03-05    | NE    | 1250        | N/A           | 0.1       | 20.3 | 27.7 | 13.2 | 5.5  | 3.7 | 2.7    | 1.4 | N/A   | 1.1      | 0.5 | 17.0 | 1.9 | 0.5 | N/A  | N/A | N/A | N/A
SW Demoscopia            | N/A               | 2020-02-24      | 2020-02-28    | NE    | 1302        | N/A           | 0.1       | 19.7 | 27.8 | 13.2 | 3.9  | 3.6 | N/A    | 1.6 | N/A   | 1.1      | 0.6 | 18.8 | 2.4 | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-02-23      | 2020-02-25    | NE    | 1250        | N/A           | 0.1       | 20.4 | 27.7 | 13.3 | 5.3  | 3.6 | 2.7    | 1.5 | N/A   | 1.1      | 0.5 | 17.0 | 1.8 | 0.5 | N/A  | N/A | N/A | N/A
CIS                      | N/A               | 2020-02-01      | 2020-02-11    | NE    | 2957        | N/A           | 0.1       | 18.9 | 30.9 | 13.6 | 8.1  | 3.3 | N/A    | 1.3 | N/A   | 1.1      | 0.2 | 13.6 | 1.6 | 0.7 | N/A  | N/A | N/A | N/A
Invymark                 | laSexta           | 2020-02-17      | 2020-02-21    | NE    | (1000)      | N/A           | 0.1       | 21.0 | 29.1 | 13.4 | 3.5  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 17.0 | N/A | N/A | N/A  | N/A | N/A | 16
NC Report                | La Razon          | 2020-02-14      | 2020-02-14    | NE    | (1000)      | N/A           | 0.1       | 22.2 | 26.9 | 13.2 | 5.6  | 3.4 | N/A    | 1.5 | N/A   | 1.0      | N/A | 16.1 | N/A | N/A | N/A  | N/A | N/A | N/A
Simple Lógica            | N/A               | 2020-02-03      | 2020-02-11    | NE    | 1073        | N/A           | 0.1       | 17.6 | 28.5 | 14.0 | 7.9  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 16.1 | N/A | N/A | N/A  | N/A | N/A | N/A
Celeste-Tel              | eldiario.es       | 2020-02-03      | 2020-02-07    | NE    | 1100        | N/A           | 0.1       | 20.2 | 27.6 | 13.5 | 6.2  | 3.5 | N/A    | 1.5 | 1.0   | 1.1      | 0.5 | 16.9 | N/A | 0.5 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-02-03      | 2020-02-05    | NE    | 1490        | N/A           | 0.1       | 19.9 | 27.2 | 13.4 | 6.1  | 3.7 | 2.7    | 1.5 | N/A   | 1.1      | 0.5 | 16.8 | 1.8 | 0.5 | N/A  | N/A | N/A | N/A
Invymark                 | laSexta           | 2020-02-02      | 2020-02-02    | NE    | (1200)      | N/A           | 0.1       | 20.4 | 20.7 | 13.5 | 3.9  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 16.8 | 2.0 | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-01-30      | 2020-02-01    | NE    | 1250        | N/A           | 0.1       | 19.8 | 26.7 | 13.6 | 6.8  | 3.4 | 3.0    | 1.5 | N/A   | 1.1      | 0.5 | 16.9 | 1.8 | 0.5 | N/A  | N/A | N/A | N/A
Invymark                 | laSexta           | 2020-01-27      | 2020-01-31    | NE    | (1000)      | N/A           | 0.1       | 20.4 | 29.7 | 13.5 | 3.9  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 16.8 | N/A | N/A | N/A  | N/A | N/A | N/A
Metroscopia              | N/A               | 2020-01-13      | 2020-01-29    | NE    | 4237        | N/A           | 0.1       | 20.5 | 26.8 | 13.3 | 6.1  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 15.3 | 2.7 | N/A | N/A  | N/A | N/A | N/A
SW Demoscopia            | N/A               | 2020-01-31      | 2020-01-31    | NE    | (1300)      | N/A           | 0.1       | 19.4 | 27.0 | 13.7 | 4.7  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 18.7 | N/A | N/A | N/A  | N/A | N/A | N/A
CIS                      | N/A               | 2020-01-02      | 2020-01-13    | NE    | 2929        | N/A           | 0.1       | 19.9 | 30.4 | 13.8 | 6.5  | 3.9 | N/A    | 1.6 | N/A   | 1.3      | 0.3 | 13.4 | 1.8 | 0.5 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-01-21      | 2020-01-23    | NE    | 1250        | N/A           | 0.1       | 19.4 | 26.3 | 13.7 | 6.8  | 3.7 | 2.7    | 1.5 | N/A   | 1.2      | 0.5 | 17.1 | 1.8 | 0.5 | N/A  | N/A | N/A | 0.9
Key Data                 | Público           | 2020-01-21      | 2020-01-21    | NE    | (500)       | N/A           | 0.1       | 21.0 | 27.7 | 14.0 | 5.8  | 3.4 | 2.3    | 1.6 | N/A   | 1.1      | 0.6 | 15.6 | 1.8 | N/A | N/A  | N/A | N/A | 0.9
SocioMétrica             | El Español        | 2020-01-15      | 2020-01-18    | NE    | 1100        | N/A           | 0.1       | 21.2 | 27.7 | 12.5 | 5.5  | 3.6 | 2.2    | 1.6 | N/A   | 1.1      | 0.5 | 16.3 | 2.1 | 0.5 | N/A  | N/A | N/A | 1.0
Invymark                 | laSexta           | 2020-01-13      | 2020-01-17    | NE    | (1200)      | N/A           | 0.1       | 20.2 | 30.3 | 13.6 | 3.8  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 16.6 | 1.9 | N/A | N/A  | N/A | N/A | N/A
NC Report                | La Razón          | 2020-01-07      | 2020-01-17    | NE    | 1000        | N/A           | 0.1       | 22.1 | 26.7 | 13.4 | 5.4  | 3.3 | 2.6    | 1.5 | N/A   | 1.0      | 0.5 | 16.1 | 1.8 | 0.5 | N/A  | N/A | N/A | 1.1
electoPanel              | electomania.es    | 2020-01-13      | 2020-01-15    | NE    | 2500        | N/A           | 0.1       | 19.1 | 26.4 | 14.0 | 7.2  | 3.7 | 2.7    | 1.5 | N/A   | 1.2      | 0.5 | 16.9 | 1.8 | 0.5 | N/A  | N/A | N/A | 0.8
Simple Lógica            | N/A               | 2020-01-07      | 2020-01-10    | NE    | 1097        | N/A           | 0.1       | 20.3 | 26.5 | 15.5 | 7.9  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 14.4 | N/A | N/A | N/A  | N/A | N/A | N/A
Invymark                 | laSexta           | 2020-01-07      | 2020-01-10    | NE    | (1200)      | N/A           | 0.1       | 20.7 | 29.9 | 13.3 | 4.0  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 16.4 | 1.9 | N/A | N/A  | N/A | N/A | N/A
GAD3                     | ABC               | 2020-01-07      | 2020-01-10    | NE    | 1000        | N/A           | 0.1       | 23.2 | 26.3 | 12.4 | 7.3  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 15.0 | 1.5 | N/A | N/A  | N/A | N/A | N/A
Celeste-Tel              | eldiario.es       | 2020-01-02      | 2020-01-09    | NE    | 1100        | N/A           | 0.1       | 20.3 | 27.0 | 13.9 | 6.1  | 3.2 | 2.8    | 1.4 | N/A   | 1.1      | 0.5 | 16.4 | 2.0 | 0.5 | N/A  | N/A | N/A | 1.3
electoPanel              | electomania.es    | 2020-01-07      | 2020-01-08    | NE    | 1250        | N/A           | 0.1       | 19.1 | 26.6 | 14.0 | 6.8  | 3.6 | 2.7    | 1.5 | N/A   | 1.2      | 0.5 | 17.1 | 1.8 | 0.5 | N/A  | N/A | N/A | 0.8
SW Demoscopia            | N/A               | 2019-12-30      | 2020-01-02    | NE    | 1300        | N/A           | 0.1       | 19.5 | 26.9 | 13.3 | 4.9  | 3.7 | 2.2    | 1.6 | N/A   | 1.1      | 0.6 | 18.6 | 2.6 | N/A | N/A  | N/A | N/A | 1.0
electoPanel              | electomania.es    | 2019-12-29      | 2020-01-02    | NE    | 1250        | N/A           | 0.1       | 19.9 | 26.6 | 14.2 | 6.6  | 3.4 | 2.6    | 1.6 | N/A   | 1.2      | 0.5 | 16.6 | 1.8 | 0.5 | N/A  | N/A | N/A | 0.9
electoPanel              | electomania.es    | 2019-12-25      | 2019-12-28    | NE    | 1250        | N/A           | 0.1       | 20.4 | 26.8 | 13.7 | 6.8  | 3.3 | 2.6    | 1.6 | N/A   | 1.2      | 0.5 | 16.6 | 1.6 | 0.5 | N/A  | N/A | N/A | 0.8
Sigma Dos                | El Mundo          | 2019-12-26      | 2019-12-27    | NE    | 1000        | N/A           | 0.1       | 20.1 | 27.5 | 15.4 | 4.8  | 3.5 | 2.0    | 1.6 | N/A   | N/A      | N/A | 16.0 | 2.3 | N/A | N/A  | N/A | N/A | N/A
CIS                      | N/A               | 2019-11-29      | 2019-12-19    | NE    | 4800        | N/A           | 0.1       | 20.0 | 28.3 | 12.8 | 5.6  | 3.6 | 2.2    | 1.5 | N/A   | 1.2      | 0.5 | 15.2 | 2.3 | 0.5 | N/A  | N/A | N/A | 1.0
Key Data                 | Público           | 2019-12-23      | 2019-12-23    | NE    | (500)       | N/A           | 0.1       | 20.4 | 26.4 | 12.8 | 6.0  | 3.4 | 1.9    | 1.5 | N/A   | 1.1      | 0.5 | 15.0 | 1.8 | N/A | N/A  | N/A | N/A | N/A
SocioMétrica             | El Español        | 2019-12-20      | 2019-12-21    | NE    | 2160        | N/A           | 0.1       | 21.6 | 27.2 | 12.6 | 5.8  | 3.8 | 2.6    | 1.8 | N/A   | 1.1      | 0.6 | 16.2 | 2.0 | 0.5 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2019-12-17      | 2019-12-19    | NE    | 1250        | N/A           | 0.1       | 20.1 | 26.7 | 13.4 | 7.3  | 3.3 | 2.6    | 1.6 | N/A   | 1.2      | 0.5 | 16.6 | 1.9 | 0.5 | N/A  | N/A | N/A | N/A
NC Report                | La Razón          | 2019-12-10      | 2019-12-13    | NE    | 1000        | N/A           | 0.1       | 21.6 | 27.1 | 13.1 | 5.8  | 3.5 | 2.3    | 1.5 | N/A   | 1.1      | N/A | 15.6 | N/A | N/A | N/A  | N/A | N/A | N/A
Invymark                 | laSexta           | 2019-12-09      | 2019-12-13    | NE    | (1200)      | N/A           | 0.1       | 21.6 | 28.8 | 13.7 | 3.9  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 16.4 | 1.9 | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2019-12-10      | 2019-12-12    | NE    | 1250        | N/A           | 0.1       | 19.6 | 26.6 | 13.7 | 7.6  | 3.2 | 2.7    | 1.6 | N/A   | 1.1      | 0.5 | 16.6 | 1.8 | 0.5 | N/A  | N/A | N/A | N/A
Simple Lógica            | N/A               | 2019-12-02      | 2019-12-12    | NE    | 1064        | N/A           | 0.1       | 20.5 | 27.0 | 16.4 | 6.4  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 13.8 | N/A | N/A | N/A  | N/A | N/A | 5.2
