Polling firm                      | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | GERB  | BSP   | OP   | VMRO | NFSB | Attack | ABV | DPS   | Volya | RB  | DB   | DSB | YB  | ITN   | ISMV | V    | RzB | Vo–NFSB | BP  | PP   | BV  | PP–DB | Lev! | NDSV | Other
Trend                             | 24 chasa      | 2023-09-02      | 2023-09-08    | NE    | 1002        | 93.5          | 0.1       | 26.6  | 9.3   | N/A  | N/A  | N/A  | N/A    | N/A | 14.3  | N/A   | N/A | N/A  | N/A | N/A | 4.5   | N/A  | 17.2 | N/A | N/A     | N/A | N/A  | 2.2 | 19.6  | 2.0  | N/A  | 4.2
Market LINKS                      | bTV           | 2023-08-11      | 2023-08-18    | NE    | 1012        | 97.0          | 0.1       | 27.1  | 8.6   | N/A  | N/A  | N/A  | N/A    | N/A | 15.6  | N/A   | N/A | N/A  | N/A | N/A | 5.6   | N/A  | 13.2 | N/A | N/A     | N/A | N/A  | N/A | 22.4  | N/A  | N/A  | 7.4
Mediana                           | N/A           | 2023-07-18      | 2023-07-24    | NE    | 976         | N/A           | 0.1       | 25.7  | 9.9   | N/A  | N/A  | N/A  | N/A    | N/A | 14.2  | N/A   | N/A | N/A  | N/A | N/A | 6.0   | N/A  | 17.0 | N/A | N/A     | N/A | N/A  | 2.7 | 19.9  | 2.3  | N/A  | 2.2
Trend                             | 24 chasa      | 2023-07-04      | 2023-07-11    | NE    | 1001        | 93.7          | 0.1       | 26.5  | 9.2   | N/A  | N/A  | N/A  | N/A    | N/A | 14.6  | N/A   | N/A | N/A  | N/A | N/A | 4.3   | N/A  | 16.5 | N/A | N/A     | N/A | N/A  | 1.9 | 20.4  | 2.0  | N/A  | 4.6
Gallup International              | N/A           | 2023-06-29      | 2023-07-09    | NE    | 809         | N/A           | 0.1       | 26.4  | 9.7   | N/A  | N/A  | N/A  | N/A    | N/A | 14.5  | N/A   | N/A | N/A  | N/A | N/A | 4.3   | N/A  | 14.9 | N/A | N/A     | N/A | N/A  | 2.0 | 21.8  | N/A  | N/A  | 6.4
Centre for Analysis and Marketing | N/A           | 2023-07-03      | 2023-07-07    | NE    | 1021        | 95.5          | 0.1       | 27.4  | 9.4   | N/A  | N/A  | N/A  | N/A    | N/A | 14.0  | N/A   | N/A | N/A  | N/A | N/A | 3.9   | N/A  | 15.1 | N/A | N/A     | N/A | N/A  | 1.9 | 22.4  | 1.9  | N/A  | 3.9
Market LINKS                      | bTV           | 2023-06-22      | 2023-07-02    | NE    | 1011        | 95.4          | 0.1       | 28.8  | 9.3   | N/A  | N/A  | N/A  | N/A    | N/A | 17.8  | N/A   | N/A | N/A  | N/A | N/A | 4.0   | N/A  | 14.5 | N/A | N/A     | N/A | N/A  | N/A | 21.9  | N/A  | N/A  | 3.8
Alpha Research                    | N/A           | 2023-06-20      | 2023-06-26    | NE    | 1000        | 96.4          | 0.1       | 26.0  | 9.1   | N/A  | N/A  | N/A  | N/A    | N/A | 13.1  | N/A   | N/A | N/A  | N/A | N/A | 4.3   | N/A  | 16.0 | N/A | N/A     | N/A | N/A  | N/A | 21.0  | 2.8  | N/A  | 7.8
Exacta                            | N/A           | 2023-06-12      | 2023-06-20    | NE    | 1040        | 94.1          | 0.1       | 25.9  | 10.1  | N/A  | N/A  | N/A  | N/A    | N/A | 14.0  | N/A   | N/A | N/A  | N/A | N/A | 5.1   | N/A  | 15.7 | N/A | N/A     | N/A | N/A  | 2.0 | 21.4  | 1.9  | N/A  | 3.8
Trend                             | 24 chasa      | 2023-06-10      | 2023-06-16    | NE    | 1008        | 94.2          | 0.1       | 26.4  | 9.4   | N/A  | N/A  | N/A  | N/A    | N/A | 14.3  | N/A   | N/A | N/A  | N/A | N/A | 4.6   | N/A  | 16.2 | N/A | N/A     | N/A | N/A  | 2.3 | 20.6  | 2.0  | N/A  | 3.6
Gallup International              | N/A           | 2023-04-27      | 2023-05-05    | NE    | 803         | N/A           | 0.1       | 26.8  | 9.1   | N/A  | N/A  | N/A  | N/A    | N/A | 13.9  | N/A   | N/A | N/A  | N/A | N/A | 4.1   | N/A  | 14.7 | N/A | N/A     | N/A | N/A  | 3.2 | 24.1  | 1.5  | N/A  | 2.6
Mediana                           | N/A           | 2023-03-17      | 2023-03-22    | NE    | 978         | N/A           | 0.1       | 24.7  | 8.6   | N/A  | N/A  | N/A  | N/A    | N/A | 13.2  | N/A   | N/A | N/A  | N/A | N/A | 3.4   | N/A  | 14.5 | N/A | N/A     | N/A | N/A  | 4.5 | 23.1  | 4.3  | N/A  | 3.8
Centre for Analysis and Marketing | N/A           | 2023-03-16      | 2023-03-19    | NE    | 1021        | 96.8          | 0.1       | 24.7  | 8.1   | N/A  | N/A  | N/A  | N/A    | N/A | 13.8  | N/A   | N/A | N/A  | N/A | N/A | 2.9   | N/A  | 12.5 | N/A | N/A     | N/A | N/A  | 2.8 | 25.7  | 4.0  | 1.2  | 4.3
Nasoca                            | N/A           | 2023-03-07      | 2023-03-14    | NE    | 1200        | 95.3          | 0.1       | 26.0  | 6.5   | N/A  | N/A  | N/A  | N/A    | N/A | 13.9  | N/A   | N/A | N/A  | N/A | N/A | 3.1   | N/A  | 12.8 | N/A | N/A     | N/A | N/A  | 4.5 | 25.3  | 3.3  | N/A  | 4.6
Trend                             | 24 chasa      | 2023-03-06      | 2023-03-12    | NE    | 1003        | 94.9          | 0.1       | 25.6  | 7.6   | N/A  | N/A  | N/A  | N/A    | N/A | 13.6  | N/A   | N/A | N/A  | N/A | N/A | 3.1   | N/A  | 12.9 | N/A | N/A     | N/A | N/A  | 3.6 | 26.5  | 3.5  | N/A  | 3.6
Gallup International              | N/A           | 2023-02-24      | 2023-03-03    | NE    | 1008        | N/A           | 0.1       | 26.6  | 7.3   | N/A  | N/A  | N/A  | N/A    | N/A | 13.4  | N/A   | N/A | N/A  | N/A | N/A | 3.4   | N/A  | 12.3 | N/A | N/A     | N/A | N/A  | 3.7 | 27.2  | 3.2  | N/A  | 2.9
Alpha Research                    | N/A           | 2023-02-21      | 2023-02-27    | NE    | 1007        | N/A           | 0.1       | 25.2  | 7.4   | N/A  | N/A  | N/A  | N/A    | N/A | 13.2  | N/A   | N/A | N/A  | N/A | N/A | 3.2   | N/A  | 11.3 | N/A | N/A     | N/A | N/A  | 3.8 | 26.4  | 3.6  | 1.4  | 4.5
Sova Harris                       | N/A           | 2023-02-20      | 2023-02-27    | NE    | 1000        | N/A           | 0.1       | 27.4  | 9.7   | N/A  | N/A  | N/A  | N/A    | N/A | 11.7  | N/A   | N/A | N/A  | N/A | N/A | 3.1   | N/A  | 10.6 | N/A | N/A     | N/A | N/A  | 3.7 | 25.7  | 3.9  | 0.9  | 2.0
Mediana                           | N/A           | 2023-02-19      | 2023-02-24    | NE    | 973         | 93.9          | 0.1       | 26.2  | 9.5   | N/A  | N/A  | N/A  | N/A    | N/A | 12.0  | N/A   | N/A | N/A  | N/A | N/A | 3.3   | N/A  | 13.3 | N/A | N/A     | N/A | N/A  | 4.8 | 24.2  | 3.7  | N/A  | 3.0
Gallup International              | N/A           | 2023-02-02      | 2023-02-12    | NE    | 808         | N/A           | 0.1       | 26.1  | 8.6   | N/A  | N/A  | N/A  | N/A    | N/A | 13.4  | N/A   | N/A | N/A  | N/A | N/A | 3.9   | N/A  | 12.3 | N/A | N/A     | N/A | N/A  | 4.2 | 27.1  | N/A  | N/A  | 4.4
Trend                             | 24 chasa      | 2023-02-04      | 2023-02-11    | NE    | 1003        | N/A           | 0.1       | 25.6  | 8.9   | N/A  | N/A  | N/A  | N/A    | N/A | 12.8  | N/A   | N/A | N/A  | N/A | N/A | 3.3   | N/A  | 11.9 | N/A | N/A     | N/A | N/A  | 4.0 | 24.8  | N/A  | N/A  | 3.9
Exacta                            | N/A           | 2023-01-30      | 2023-02-04    | NE    | 1050        | N/A           | 0.1       | 27.4  | 12.6  | N/A  | 1.1  | N/A  | N/A    | N/A | 13.2  | N/A   | N/A | 7.5  | N/A | N/A | 3.3   | N/A  | 10.3 | N/A | N/A     | N/A | 16.9 | 4.3 | N/A   | N/A  | 1.1  | 2.4
Market LINKS                      | bTV           | 2022-12-10      | 2022-12-20    | NE    | 1022        | N/A           | 0.1       | 22.6  | 9.6   | N/A  | N/A  | N/A  | N/A    | N/A | 12.2  | N/A   | N/A | 8.3  | N/A | N/A | 2.2   | N/A  | 10   | N/A | N/A     | N/A | 16.2 | 2.6 | N/A   | N/A  | N/A  | N/A
Alpha Research                    | N/A           | 2022-12-01      | 2022-12-13    | NE    | 1023        | N/A           | 0.1       | 27.6  | 10    | N/A  | N/A  | N/A  | N/A    | N/A | 12.3  | N/A   | N/A | 7.7  | N/A | N/A | N/A   | N/A  | 11.8 | N/A | N/A     | N/A | 20.9 | 5.1 | N/A   | N/A  | N/A  | N/A
Exacta                            | N/A           | 2022-12-05      | 2022-12-12    | NE    | 1050        | N/A           | 0.1       | 25.2  | 10.2  | N/A  | N/A  | N/A  | N/A    | N/A | 11.5  | N/A   | N/A | 7.4  | N/A | N/A | 2.7   | N/A  | 8.9  | N/A | N/A     | N/A | 19.0 | 5.2 | N/A   | N/A  | N/A  | 4.5
Trend                             | 24 chasa      | 2022-12-01      | 2022-12-08    | NE    | 1005        | N/A           | 0.1       | 25.8  | 9.0   | N/A  | N/A  | N/A  | N/A    | N/A | 11.6  | N/A   | N/A | 7.3  | N/A | N/A | 3.1   | N/A  | 11.3 | N/A | N/A     | N/A | 19.2 | 4.0 | N/A   | N/A  | N/A  | N/A
Gallup International              | N/A           | 2022-09-20      | 2022-09-27    | NE    | 1009        | N/A           | 0.1       | 25.8  | 9.2   | N/A  | 1.2  | N/A  | N/A    | N/A | 13.2  | N/A   | N/A | 7.8  | N/A | N/A | 4.2   | 1.9  | 12.8 | N/A | N/A     | N/A | 16.6 | 4.0 | N/A   | N/A  | N/A  | 3.3
Trend                             | 24 chasa      | 2022-09-21      | 2022-09-27    | NE    | 1001        | N/A           | 0.1       | 25.7  | 8.7   | N/A  | 1.2  | N/A  | N/A    | N/A | 11.9  | N/A   | N/A | 7.6  | N/A | N/A | 4.2   | 2.0  | 11.0 | N/A | N/A     | N/A | 16.4 | 4.4 | N/A   | N/A  | N/A  | 6.3
Alpha Research                    | N/A           | 2022-09-27      | 2022-09-29    | NE    | 1025        | N/A           | 0.1       | 25.2  | 10.2  | N/A  | 1.8  | N/A  | N/A    | N/A | 13.1  | N/A   | N/A | 8.4  | N/A | N/A | 4.0   | 1.9  | 11.0 | N/A | N/A     | N/A | 16.5 | 4.4 | N/A   | N/A  | N/A  | N/A
